,ID 740,ID 740,ID 740,ID 740,ID 740,ID 740,ID 740,ID 795,ID 795,ID 795,ID 795,ID 795,ID 795,ID 795,ID 787,ID 787,ID 787,ID 787,ID 787,ID 787,ID 787,ID 1083,ID 1083,ID 1083,ID 1083,ID 1083,ID 1083,ID 1083,ID 867,ID 867,ID 867,ID 867,ID 867,ID 867,ID 867,ID 858,ID 858,ID 858,ID 858,ID 858,ID 858,ID 858,ID 978,ID 978,ID 978,ID 978,ID 978,ID 978,ID 978,ID 635,ID 635,ID 635,ID 635,ID 635,ID 635,ID 635,ID 621,ID 621,ID 621,ID 621,ID 621,ID 621,ID 621,ID 890,ID 890,ID 890,ID 890,ID 890,ID 890,ID 890,ID 874,ID 874,ID 874,ID 874,ID 874,ID 874,ID 874,ID 684,ID 684,ID 684,ID 684,ID 684,ID 684,ID 684,ID 773,ID 773,ID 773,ID 773,ID 773,ID 773,ID 773,ID 1184,ID 1184,ID 1184,ID 1184,ID 1184,ID 1184,ID 1184,ID 1029,ID 1029,ID 1029,ID 1029,ID 1029,ID 1029,ID 1029,ID 1065,ID 1065,ID 1065,ID 1065,ID 1065,ID 1065,ID 1065,ID 1121,ID 1121,ID 1121,ID 1121,ID 1121,ID 1121,ID 1121,ID 998,ID 998,ID 998,ID 998,ID 998,ID 998,ID 998,ID 920,ID 920,ID 920,ID 920,ID 920,ID 920,ID 920,ID 894,ID 894,ID 894,ID 894,ID 894,ID 894,ID 894,ID 1041,ID 1041,ID 1041,ID 1041,ID 1041,ID 1041,ID 1041
00:00.880,46.063,77.562,0.000,0.000,0.000,0.000,22.30,46.541,77.989,0.000,0.000,0.000,0.000,22.23,46.785,78.956,0.000,0.000,0.000,0.000,22.58,47.107,79.748,0.000,0.000,0.000,0.000,22.97,47.353,80.405,0.000,0.000,0.000,0.000,23.32,0,0,0.000,0.000,0.000,0.000,.00,47.119,81.423,0.000,0.000,0.000,0.000,24.22,47.712,81.522,0.000,0.000,0.000,0.000,23.95,48.149,82.095,0.000,0.000,0.000,0.000,24.05,48.478,83.207,0.000,0.000,0.000,0.000,24.77,47.541,82.845,0.000,0.000,0.000,0.000,24.97,0,0,0.000,0.000,0.000,0.000,.00,47.538,83.986,0.000,0.000,0.000,0.000,26.10,47.699,84.642,0.000,0.000,0.000,0.000,26.03,46.987,85.199,0.000,0.000,0.000,0.000,26.99,46.41,85.828,0.000,0.000,0.000,0.000,27.94,46.336,86.389,0.000,0.000,0.000,0.000,28.34,45.921,86.595,0.172,0.000,0.260,0.260,28.74,45.843,87.154,0.337,0.000,0.508,0.508,29.25,45.669,87.687,0.761,0.000,0.824,0.854,29.69,0,0,1.089,0.000,0.000,0.000,.00
00:00.880,46.063,77.562,0.000,0.000,0.000,0.000,22.30,46.541,77.989,0.000,0.000,0.000,0.000,22.23,46.785,78.956,0.000,0.000,0.000,0.000,22.58,47.107,79.748,0.000,0.000,0.000,0.000,22.97,47.353,80.405,0.000,0.000,0.000,0.000,23.32,0,0,0.000,0.000,0.000,0.000,.00,47.119,81.423,0.000,0.000,0.000,0.000,24.22,47.712,81.522,0.000,0.000,0.000,0.000,23.95,48.149,82.095,0.000,0.000,0.000,0.000,24.05,48.478,83.207,0.000,0.000,0.000,0.000,24.77,47.541,82.845,0.000,0.000,0.000,0.000,24.97,0,0,0.000,0.000,0.000,0.000,.00,47.538,83.986,0.000,0.000,0.000,0.000,26.10,47.699,84.642,0.000,0.000,0.000,0.000,26.03,46.987,85.199,0.000,0.000,0.000,0.000,26.99,46.41,85.828,0.000,0.000,0.000,0.000,27.94,46.336,86.389,0.000,0.000,0.000,0.000,28.34,45.921,86.595,0.207,0.000,0.260,0.260,28.74,45.843,87.154,0.404,0.000,0.508,0.508,29.25,45.669,87.687,0.856,0.000,0.824,0.854,29.69,0,0,1.240,0.000,0.000,0.000,.00
00:00.980,46.155,77.506,0.000,0.000,0.000,0.000,22.27,46.328,78.025,0.000,0.000,0.000,0.000,22.24,46.774,78.956,0.000,0.000,0.000,0.000,22.75,47.126,79.737,0.000,0.000,0.000,0.000,23.08,47.348,80.367,0.000,0.000,0.000,0.000,23.37,47.631,80.884,0.000,0.000,0.000,0.000,.00,47.322,81.421,0.000,0.000,0.000,0.000,24.26,47.737,81.476,0.000,0.000,0.000,0.000,23.91,48.149,82.1,0.000,0.000,0.000,0.000,24.00,48.567,83.116,0.000,0.000,0.000,0.000,24.56,47.632,82.82,0.000,0.000,0.000,0.000,24.96,47.208,83.472,0.000,0.000,0.000,0.000,.00,47.551,84.004,0.000,0.000,0.000,0.000,25.77,47.636,84.659,0.000,0.000,0.000,0.000,26.12,46.949,85.217,0.000,0.000,0.000,0.000,27.02,46.4,85.831,0.000,0.000,0.000,0.000,27.87,46.326,86.366,0.000,0.000,0.000,0.000,28.32,45.865,86.6,0.232,-0.006,0.260,0.260,28.76,45.857,87.175,0.440,-0.040,0.508,0.508,29.21,45.702,87.696,0.916,-0.035,0.824,0.856,29.71,45.572,88.603,1.306,-0.115,1.301,1.301,.00
00:01.080,46.176,77.482,0.000,0.000,0.000,0.000,22.17,46.717,77.938,0.000,0.000,0.000,0.000,22.41,46.679,78.992,0.000,0.000,0.000,0.000,22.76,47.218,79.693,0.000,0.000,0.000,0.000,23.06,47.334,80.413,0.000,0.000,0.000,0.000,23.35,47.571,80.892,0.000,0.000,0.000,0.000,23.51,47.44,81.416,0.000,0.000,0.000,0.000,24.11,47.764,81.452,0.000,0.000,0.000,0.000,23.86,48.122,82.119,0.000,0.000,0.000,0.000,24.01,48.803,83.064,0.000,0.000,0.000,0.000,24.43,47.716,82.779,0.000,0.000,0.000,0.000,24.88,47.018,83.442,0.000,0.000,0.000,0.000,25.64,47.514,84.02,0.000,0.000,0.000,0.000,25.78,47.611,84.61,0.000,0.000,0.000,0.000,26.18,46.876,85.217,0.000,0.000,0.000,0.000,27.06,46.478,85.812,0.000,0.000,0.000,0.000,27.88,46.33,86.356,0.000,0.000,0.000,0.000,28.31,45.794,86.615,0.253,-0.011,0.320,0.320,28.80,45.83,87.179,0.469,-0.073,0.526,0.526,29.22,45.557,87.714,0.966,-0.065,0.824,0.967,29.69,45.524,88.585,1.361,-0.211,1.337,1.337,30.43
00:01.080,46.176,77.482,0.000,0.000,0.000,0.000,22.17,46.717,77.938,0.000,0.000,0.000,0.000,22.41,46.679,78.992,0.000,0.000,0.000,0.000,22.76,47.218,79.693,0.000,0.000,0.000,0.000,23.06,47.334,80.413,0.000,0.000,0.000,0.000,23.35,47.571,80.892,0.000,0.000,0.000,0.000,23.51,47.44,81.416,0.000,0.000,0.000,0.000,24.11,47.764,81.452,0.000,0.000,0.000,0.000,23.86,48.122,82.119,0.000,0.000,0.000,0.000,24.01,48.803,83.064,0.000,0.000,0.000,0.000,24.43,47.716,82.779,0.000,0.000,0.000,0.000,24.88,47.018,83.442,0.000,0.000,0.000,0.000,25.64,47.514,84.02,0.000,0.000,0.000,0.000,25.78,47.611,84.61,0.000,0.000,0.000,0.000,26.18,46.876,85.217,0.000,0.000,0.000,0.000,27.06,46.478,85.812,0.000,0.000,0.000,0.000,27.88,46.33,86.356,0.000,0.000,0.000,0.000,28.31,45.794,86.615,0.271,-0.016,0.320,0.320,28.80,45.83,87.179,0.494,-0.101,0.526,0.526,29.22,45.557,87.714,1.009,-0.090,0.824,0.967,29.69,45.524,88.585,1.408,-0.292,1.337,1.337,30.43
00:01.080,46.176,77.482,0.000,0.000,0.000,0.000,22.17,46.717,77.938,0.000,0.000,0.000,0.000,22.41,46.679,78.992,0.000,0.000,0.000,0.000,22.76,47.218,79.693,0.000,0.000,0.000,0.000,23.06,47.334,80.413,0.000,0.000,0.000,0.000,23.35,47.571,80.892,0.000,0.000,0.000,0.000,23.51,47.44,81.416,0.000,0.000,0.000,0.000,24.11,47.764,81.452,0.000,0.000,0.000,0.000,23.86,48.122,82.119,0.000,0.000,0.000,0.000,24.01,48.803,83.064,0.000,0.000,0.000,0.000,24.43,47.716,82.779,0.000,0.000,0.000,0.000,24.88,47.018,83.442,0.000,0.000,0.000,0.000,25.64,47.514,84.02,0.000,0.000,0.000,0.000,25.78,47.611,84.61,0.000,0.000,0.000,0.000,26.18,46.876,85.217,0.000,0.000,0.000,0.000,27.06,46.478,85.812,0.000,0.000,0.000,0.000,27.88,46.33,86.356,0.000,0.000,0.000,0.000,28.31,45.794,86.615,0.286,-0.019,0.320,0.320,28.80,45.83,87.179,0.515,-0.125,0.526,0.526,29.22,45.557,87.714,1.045,-0.111,0.824,0.967,29.69,45.524,88.585,1.448,-0.361,1.337,1.337,30.43
00:01.181,46.156,77.482,0.000,0.000,0.000,0.000,22.14,46.716,77.769,0.000,0.000,0.000,0.000,22.08,46.684,78.941,0.000,0.000,0.000,0.000,22.85,47.249,79.684,0.000,0.000,0.000,0.000,22.96,47.397,80.404,0.000,0.000,0.000,0.000,23.39,47.537,80.889,0.000,0.000,0.000,0.000,23.56,47.485,81.44,0.000,0.000,0.000,0.000,24.02,47.772,81.52,0.000,0.000,0.000,0.000,23.82,48.101,82.246,0.000,0.000,0.000,0.000,24.04,48.688,83.072,0.000,0.000,0.000,0.000,24.23,47.698,82.772,0.000,0.000,0.000,0.000,24.79,46.919,83.445,0.000,0.000,0.000,0.000,25.76,47.401,84.045,0.000,0.000,0.000,0.000,25.81,47.597,84.56,0.000,0.000,0.000,0.000,26.16,47.005,85.181,0.000,0.000,0.000,0.000,27.11,46.436,85.816,0.000,0.000,0.000,0.000,27.81,46.233,86.362,0.000,0.000,0.000,0.000,28.30,45.771,86.624,0.299,-0.023,0.320,0.358,28.86,45.851,87.19,0.534,-0.146,0.526,0.526,29.24,45.447,87.697,1.076,-0.130,0.824,1.061,29.81,45.531,88.561,1.483,-0.421,1.337,1.337,30.45
00:01.280,46.172,77.465,0.000,0.000,0.000,0.000,22.15,46.484,77.858,0.000,0.000,0.000,0.000,21.96,46.721,78.907,0.000,0.000,0.000,0.000,22.81,47.213,79.652,0.000,0.000,0.000,0.000,22.94,47.391,80.409,0.000,0.000,0.000,0.000,23.34,47.527,80.877,0.000,0.000,0.000,0.000,23.58,47.529,81.415,0.000,0.000,0.000,0.000,24.01,47.799,81.544,0.000,0.000,0.000,0.000,23.86,48.021,82.325,0.000,0.000,0.000,0.000,24.14,48.697,83.055,0.000,0.000,0.000,0.000,24.31,47.657,82.79,0.000,0.000,0.000,0.000,24.80,46.971,83.417,0.000,0.000,0.000,0.000,25.83,47.384,84.068,0.000,0.000,0.000,0.000,25.91,47.569,84.553,0.000,0.000,0.000,0.000,26.14,46.981,85.208,0.000,0.000,0.000,0.000,26.99,46.471,85.801,0.000,0.000,0.000,0.000,27.85,46.099,86.417,0.000,0.000,0.000,0.000,28.38,45.781,86.615,0.331,-0.027,0.320,0.370,28.89,45.847,87.204,0.586,-0.176,0.526,0.526,29.23,45.323,87.707,1.177,-0.156,0.824,1.180,29.88,45.563,88.522,1.614,-0.506,1.337,1.337,30.43
00:01.380,46.151,77.482,0.000,0.000,0.000,0.000,22.13,46.433,77.845,0.000,0.000,0.000,0.000,22.18,46.73,78.866,0.000,0.000,0.000,0.000,22.76,47.247,79.634,0.000,0.000,0.000,0.000,22.94,47.372,80.42,0.000,0.000,0.000,0.000,23.35,47.433,80.916,0.000,0.000,0.000,0.000,23.58,47.446,81.394,0.000,0.000,0.000,0.000,23.96,47.802,81.547,0.000,0.000,0.000,0.000,23.86,47.972,82.375,0.000,0.000,0.000,0.000,24.26,48.598,83.106,0.000,0.000,0.000,0.000,24.29,47.555,82.818,0.000,0.000,0.000,0.000,24.84,47.046,83.423,0.000,0.000,0.000,0.000,25.77,47.32,84.168,0.000,0.000,0.000,0.000,25.94,47.578,84.607,0.000,0.000,0.000,0.000,26.15,46.948,85.233,0.000,0.000,0.000,0.000,27.03,46.471,85.792,0.000,0.000,0.000,0.000,27.81,46.084,86.452,0.000,0.000,0.000,0.000,28.51,45.725,86.616,0.355,-0.029,0.320,0.384,28.87,45.778,87.202,0.628,-0.188,0.564,0.564,29.24,45.252,87.697,1.262,-0.167,0.824,1.242,29.97,45.53,88.477,1.729,-0.542,1.337,1.337,30.38
00:01.480,46.175,77.477,0.000,0.000,0.000,0.000,22.15,46.333,77.835,0.000,0.000,0.000,0.000,22.21,46.761,78.874,0.000,0.000,0.000,0.000,22.72,47.186,79.667,0.000,0.000,0.000,0.000,22.90,47.412,80.384,0.000,0.000,0.000,0.000,23.37,47.521,80.887,0.000,0.000,0.000,0.000,23.68,47.479,81.387,0.000,0.000,0.000,0.000,24.00,47.854,81.517,0.000,0.000,0.000,0.000,23.86,47.968,82.389,0.000,0.000,0.000,0.000,24.33,48.564,83.011,0.000,0.000,0.000,0.000,24.40,47.477,82.847,0.000,0.000,0.000,0.000,24.93,47.041,83.37,0.000,0.000,0.000,0.000,25.72,47.271,84.243,0.000,0.000,0.000,0.000,26.06,47.494,84.647,0.000,0.000,0.000,0.000,26.18,46.942,85.239,0.000,0.000,0.000,0.000,27.07,46.471,85.781,0.000,0.000,0.000,0.000,27.80,46.099,86.484,0.000,0.000,0.000,0.000,28.54,45.67,86.616,0.382,-0.031,0.320,0.453,28.91,45.764,87.198,0.677,-0.203,0.564,0.577,29.29,45.162,87.693,1.359,-0.180,0.824,1.323,30.01,45.539,88.458,1.862,-0.583,1.337,1.337,30.37
