

Time
00:00.000,0,0,0.000,0.000,3.233,3.233,.00,0,0,0.000,0.000,3.233,3.233,.00,0,0,0.000,0.000,3.233,3.233,.00,0,0,0.000,0.000,3.233,3.233,.00,0,0,0.000,0.000,3.233,3.233,.00,0,0,0.000,0.000,3.234,3.234,.00,0,0,0.000,0.000,3.233,3.233,.00
00:00.000,0,0,0.000,0.000,3.233,3.233,.00,0,0,0.000,0.000,3.233,3.233,.00,0,0,0.000,0.000,3.233,3.233,.00,0,0,0.000,0.000,3.233,3.233,.00,0,0,0.000,0.000,3.233,3.233,.00,0,0,0.000,0.000,3.234,3.234,.00,0,0,1.000,0.000,3.233,3.233,.00
00:00.566,0,0,0.667,0.000,3.805,3.805,5.19,0,0,0.667,0.000,3.804,3.804,5.19,0,0,0.667,0.000,3.805,3.805,5.19,0,0,0.667,0.000,3.805,3.805,5.19,0,0,0.667,0.000,3.805,3.805,5.19,0,0,0.667,0.000,3.805,3.805,5.19,0,0,2.000,0.000,3.805,3.805,5.19
00:00.666,0,0,1.500,0.000,3.805,4.376,5.19,0,0,1.500,0.000,3.804,4.377,5.19,0,0,1.500,0.000,3.805,4.376,5.19,0,0,1.500,0.000,3.805,4.376,5.19,0,0,1.500,0.000,3.805,4.377,5.19,0,0,1.500,0.000,3.805,4.376,5.19,0,0,2.929,0.000,3.805,4.376,5.19
00:00.666,0,0,2.343,0.000,3.805,4.376,5.19,0,0,2.342,0.000,3.804,4.377,5.19,0,0,2.343,0.000,3.805,4.376,5.19,0,0,2.343,0.000,3.805,4.376,5.19,0,0,2.343,0.000,3.805,4.377,5.19,0,0,2.343,0.000,3.805,4.376,5.19,0,0,3.486,0.000,3.805,4.376,5.19
00:00.666,0,0,2.905,0.000,3.805,4.376,5.19,0,0,2.904,0.000,3.804,4.377,5.19,0,0,2.905,0.000,3.805,4.376,5.19,0,0,2.905,0.000,3.805,4.376,5.19,0,0,2.905,0.000,3.805,4.377,5.19,0,0,2.905,0.000,3.805,4.376,5.19,0,0,3.858,0.000,3.805,4.376,5.19
00:00.766,0,0,3.306,0.000,3.805,4.948,5.19,0,0,3.305,0.000,3.804,4.948,5.19,0,0,3.306,0.000,3.805,4.947,5.19,0,0,3.306,0.000,3.805,4.948,5.19,0,0,3.307,0.000,3.805,4.947,5.19,0,0,3.307,0.000,3.805,4.948,5.19,0,0,4.123,0.000,3.805,4.948,5.19
00:00.866,0,0,3.607,0.000,3.805,5.519,5.19,0,0,3.606,0.000,3.804,5.519,5.19,0,0,3.607,0.000,3.805,5.519,5.19,0,0,3.607,0.000,3.805,5.519,5.19,0,0,3.608,0.000,3.805,5.519,5.19,0,0,3.608,0.000,3.805,5.519,5.19,0,0,4.322,-0.001,3.805,5.519,5.19
00:00.866,0,0,3.841,0.000,3.805,5.519,5.19,0,0,3.840,0.000,3.804,5.519,5.19,0,0,3.841,0.000,3.805,5.519,5.19,0,0,3.841,0.000,3.805,5.519,5.19,0,0,3.842,0.000,3.805,5.519,5.19,0,0,3.842,0.000,3.805,5.519,5.19,0,0,4.477,-0.001,3.805,5.519,5.19
00:00.866,0,0,4.028,-0.001,3.805,5.519,5.19,0,0,4.028,0.001,3.804,5.519,5.19,0,0,4.028,-0.001,3.805,5.519,5.19,0,0,4.028,-0.001,3.805,5.519,5.19,0,0,4.029,-0.001,3.805,5.519,5.19,0,0,4.029,-0.001,3.805,5.519,5.19,0,0,4.601,-0.001,3.805,5.519,5.19
00:00.966,0,0,4.181,-0.001,3.805,6.091,5.19,0,0,4.181,0.001,3.804,6.090,5.19,0,0,4.181,-0.001,3.805,6.090,5.19,0,0,4.181,-0.001,3.805,6.090,5.19,0,0,4.183,-0.001,3.805,6.090,5.19,0,0,4.183,-0.001,3.805,6.090,5.19,0,0,4.702,-0.001,3.805,6.090,5.19
00:01.066,0,0,4.246,-0.032,3.805,6.662,5.19,0,0,4.245,-0.031,3.804,6.662,5.19,0,0,4.246,-0.032,3.805,6.662,5.19,0,0,4.246,-0.032,3.805,6.662,5.19,0,0,4.247,-0.032,3.805,6.662,5.19,0,0,4.247,-0.032,3.805,6.662,5.19,0,0,4.723,-0.033,3.805,6.662,5.19
00:01.066,0,0,4.300,-0.059,3.805,6.662,5.19,0,0,4.300,-0.058,3.804,6.662,5.19,0,0,4.300,-0.059,3.805,6.662,5.19,0,0,4.300,-0.059,3.805,6.662,5.19,0,0,4.301,-0.059,3.805,6.662,5.19,0,0,4.301,-0.059,3.805,6.662,5.19,0,0,4.741,-0.059,3.805,6.662,5.19
00:01.066,0,0,4.347,-0.082,3.805,6.662,5.19,0,0,4.346,-0.081,3.804,6.662,5.19,0,0,4.347,-0.082,3.805,6.662,5.19,0,0,4.347,-0.082,3.805,6.662,5.19,0,0,4.348,-0.082,3.805,6.662,5.19,0,0,4.348,-0.082,3.805,6.662,5.19,0,0,4.756,-0.082,3.805,6.662,5.19
00:01.166,0,0,4.387,-0.102,3.805,7.234,5.19,0,0,4.387,-0.101,3.804,7.233,5.19,0,0,4.387,-0.102,3.805,7.234,5.19,0,0,4.387,-0.102,3.805,7.233,5.19,0,0,4.389,-0.102,3.805,7.233,5.19,0,0,4.389,-0.102,3.805,7.233,5.19,0,0,4.770,-0.102,3.805,7.233,5.19
00:01.266,0,0,4.717,-0.128,3.805,7.805,5.19,0,0,4.717,-0.126,3.804,7.804,5.19,0,0,4.717,-0.128,3.805,7.805,5.19,0,0,4.717,-0.128,3.805,7.805,5.19,0,0,4.719,-0.128,3.805,7.805,5.19,0,0,4.719,-0.128,3.805,7.804,5.19,0,0,5.100,-0.128,3.805,7.805,5.19
00:01.366,0,0,5.047,-0.153,3.805,8.000,5.19,0,0,5.047,-0.151,3.804,8.000,5.19,0,0,5.047,-0.153,3.805,8.000,5.19,0,0,5.047,-0.153,3.805,8.000,5.19,0,0,5.049,-0.153,3.805,8.000,5.19,0,0,5.049,-0.153,3.805,8.000,5.19,0,0,5.297,-0.153,3.805,8.000,5.19
00:01.466,0,0,5.162,-0.213,8.000,8.000,5.19,0,0,5.161,-0.211,8.000,8.000,5.19,0,0,5.162,-0.213,8.000,8.000,5.19,0,0,5.162,-0.213,8.000,8.000,5.19,0,0,5.164,-0.213,8.000,8.000,5.19,0,0,5.164,-0.213,8.000,8.000,5.19,0,0,5.278,-0.213,8.000,8.000,5.19
00:01.566,0,0,5.143,-0.273,8.000,8.000,5.19,0,0,5.142,-0.271,8.000,8.000,5.19,0,0,5.143,-0.273,8.000,8.000,5.19,0,0,5.143,-0.273,8.000,8.000,5.19,0,0,5.145,-0.273,8.000,8.000,5.19,0,0,5.145,-0.273,8.000,8.000,5.19,0,0,5.145,-0.274,8.000,8.000,5.19
00:01.666,0,0,5.009,-0.334,8.000,8.000,5.19,0,0,5.009,-0.332,8.000,8.000,5.19,0,0,5.009,-0.334,8.000,8.000,5.19,0,0,5.009,-0.334,8.000,8.000,5.19,0,0,5.011,-0.334,8.000,8.000,5.19,0,0,5.011,-0.334,8.000,8.000,5.19,0,0,5.011,-0.334,8.000,8.000,5.19
00:01.766,0,0,4.876,-0.394,8.000,8.000,5.19,0,0,4.876,-0.392,8.000,8.000,5.19,0,0,4.876,-0.394,8.000,8.000,5.19,0,0,4.876,-0.394,8.000,8.000,5.19,0,0,4.878,-0.394,8.000,8.000,5.19,0,0,4.878,-0.394,8.000,8.000,5.19,0,0,4.878,-0.394,8.000,8.000,5.19
00:01.866,0,0,4.816,-0.422,8.000,8.000,5.19,0,0,4.816,-0.420,8.000,8.000,5.19,0,0,4.816,-0.422,8.000,8.000,5.19,0,0,4.816,-0.422,8.000,8.000,5.19,0,0,4.818,-0.422,8.000,8.000,5.19,0,0,4.818,-0.422,8.000,8.000,5.19,0,0,4.818,-0.422,8.000,8.000,5.19
