,ID 837,ID 837,ID 837,ID 837,ID 837,ID 837,ID 837,ID 852,ID 852,ID 852,ID 852,ID 852,ID 852,ID 852,ID 1077,ID 1077,ID 1077,ID 1077,ID 1077,ID 1077,ID 1077,ID 782,ID 782,ID 782,ID 782,ID 782,ID 782,ID 782,ID 693,ID 693,ID 693,ID 693,ID 693,ID 693,ID 693,ID 334,ID 334,ID 334,ID 334,ID 334,ID 334,ID 334,ID 689,ID 689,ID 689,ID 689,ID 689,ID 689,ID 689,ID 927,ID 927,ID 927,ID 927,ID 927,ID 927,ID 927,ID 972,ID 972,ID 972,ID 972,ID 972,ID 972,ID 972,ID 618,ID 618,ID 618,ID 618,ID 618,ID 618,ID 618,ID 1018,ID 1018,ID 1018,ID 1018,ID 1018,ID 1018,ID 1018,ID 1068,ID 1068,ID 1068,ID 1068,ID 1068,ID 1068,ID 1068,ID 608,ID 608,ID 608,ID 608,ID 608,ID 608,ID 608,ID 885,ID 885,ID 885,ID 885,ID 885,ID 885,ID 885,ID 774,ID 774,ID 774,ID 774,ID 774,ID 774,ID 774,ID 630,ID 630,ID 630,ID 630,ID 630,ID 630,ID 630,ID 734,ID 734,ID 734,ID 734,ID 734,ID 734,ID 734
,PEARCE,PEARCE,PEARCE,PEARCE,PEARCE,PEARCE,PEARCE,BEBENDORF,BEBENDORF,BEBENDORF,BEBENDORF,BEBENDORF,BEBENDORF,BEBENDORF,KARBO,KARBO,KARBO,KARBO,KARBO,KARBO,KARBO,DARU,DARU,DARU,DARU,DARU,DARU,DARU,HESSELBJERG,HESSELBJERG,HESSELBJERG,HESSELBJERG,HESSELBJERG,HESSELBJERG,HESSELBJERG,SUNDSTROM,SUNDSTROM,SUNDSTROM,SUNDSTROM,SUNDSTROM,SUNDSTROM,SUNDSTROM,VICH,VICH,VICH,VICH,VICH,VICH,VICH,PALKOVITS,PALKOVITS,PALKOVITS,PALKOVITS,PALKOVITS,PALKOVITS,PALKOVITS,BOUIH,BOUIH,BOUIH,BOUIH,BOUIH,BOUIH,BOUIH,DEFLANDRE,DEFLANDRE,DEFLANDRE,DEFLANDRE,DEFLANDRE,DEFLANDRE,DEFLANDRE,ZOGHLAMI,ZOGHLAMI,ZOGHLAMI,ZOGHLAMI,ZOGHLAMI,ZOGHLAMI,ZOGHLAMI,BOUTERA,BOUTERA,BOUTERA,BOUTERA,BOUTERA,BOUTERA,BOUTERA,RATTINGER,RATTINGER,RATTINGER,RATTINGER,RATTINGER,RATTINGER,RATTINGER,SCHNEIDER,SCHNEIDER,SCHNEIDER,SCHNEIDER,SCHNEIDER,SCHNEIDER,SCHNEIDER,BEDRANI,BEDRANI,BEDRANI,BEDRANI,BEDRANI,BEDRANI,BEDRANI,SCHYNS,SCHYNS,SCHYNS,SCHYNS,SCHYNS,SCHYNS,SCHYNS,QUIJADA,QUIJADA,QUIJADA,QUIJADA,QUIJADA,QUIJADA,QUIJADA
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.669,0,0,1.936,0.000,2.680,4.394,.00,0,0,1.936,0.000,2.680,4.394,.00,0,0,1.936,0.000,2.680,4.394,.00,0,0,1.936,0.000,2.680,4.394,.00,0,0,1.936,0.000,2.680,4.394,.00,0,0,1.936,0.000,2.680,4.394,.00,0,0,1.936,0.000,2.680,4.394,.00,0,0,1.936,0.000,2.680,4.394,.00,0,0,1.936,0.000,2.680,4.394,.00,0,0,1.936,0.000,2.680,4.394,.00,0,0,1.936,0.000,2.680,4.394,.00,0,0,1.936,0.000,2.679,4.393,.00,0,0,1.936,0.000,2.679,4.393,.00,0,0,1.936,0.000,2.679,4.393,.00,0,0,1.936,0.000,2.679,4.393,.00,0,0,1.936,0.000,2.679,4.393,.00,0,0,1.936,0.000,2.679,4.393,.00
00:00.669,0,0,2.314,0.000,2.680,4.394,.00,0,0,2.314,0.000,2.680,4.394,.00,0,0,2.314,0.000,2.680,4.394,.00,0,0,2.314,0.000,2.680,4.394,.00,0,0,2.314,0.000,2.680,4.394,.00,0,0,2.314,0.000,2.680,4.394,.00,0,0,2.314,0.000,2.680,4.394,.00,0,0,2.314,0.000,2.680,4.394,.00,0,0,2.314,0.000,2.680,4.394,.00,0,0,2.314,0.000,2.680,4.394,.00,0,0,2.314,0.000,2.680,4.394,.00,0,0,2.314,0.000,2.679,4.393,.00,0,0,2.314,0.000,2.679,4.393,.00,0,0,2.314,0.000,2.679,4.393,.00,0,0,2.314,0.000,2.679,4.393,.00,0,0,2.314,0.000,2.679,4.393,.00,0,0,2.314,0.000,2.679,4.393,.00
00:00.769,0,0,2.623,0.000,2.680,4.965,.00,0,0,2.623,0.000,2.680,4.965,.00,0,0,2.623,0.000,2.680,4.965,.00,0,0,2.623,0.000,2.680,4.965,.00,0,0,2.623,0.000,2.680,4.965,.00,0,0,2.623,0.000,2.680,4.965,.00,0,0,2.623,0.000,2.680,4.965,.00,0,0,2.623,0.000,2.680,4.965,.00,0,0,2.623,0.000,2.680,4.965,.00,0,0,2.623,0.000,2.680,4.965,.00,0,0,2.623,0.000,2.680,4.965,.00,0,0,2.623,0.000,2.679,4.965,.00,0,0,2.623,0.000,2.679,4.965,.00,0,0,2.623,0.000,2.679,4.965,.00,0,0,2.623,0.000,2.679,4.965,.00,0,0,2.623,0.000,2.679,4.965,.00,0,0,2.623,0.000,2.679,4.965,.00
00:00.869,0,0,2.881,0.000,2.680,5.537,.00,0,0,2.881,0.000,2.680,5.537,.00,0,0,2.881,0.000,2.680,5.537,.00,0,0,2.881,0.000,2.680,5.537,.00,0,0,2.881,0.000,2.680,5.537,.00,0,0,2.881,0.000,2.680,5.537,.00,0,0,2.881,0.000,2.680,5.537,.00,0,0,2.881,0.000,2.680,5.537,.00,0,0,2.881,0.000,2.680,5.537,.00,0,0,2.881,0.000,2.680,5.537,.00,0,0,2.881,0.000,2.680,5.537,.00,0,0,2.880,0.000,2.679,5.536,.00,0,0,2.880,0.000,2.679,5.536,.00,0,0,2.880,0.000,2.679,5.536,.00,0,0,2.880,0.000,2.679,5.536,.00,0,0,2.880,0.000,2.679,5.536,.00,0,0,2.880,0.000,2.679,5.536,.00
00:00.869,0,0,3.099,0.000,2.680,5.537,.00,0,0,3.099,0.000,2.680,5.537,.00,0,0,3.099,0.000,2.680,5.537,.00,0,0,3.099,0.000,2.680,5.537,.00,0,0,3.099,0.000,2.680,5.537,.00,0,0,3.099,0.000,2.680,5.537,.00,0,0,3.099,0.000,2.680,5.537,.00,0,0,3.099,0.000,2.680,5.537,.00,0,0,3.099,0.000,2.680,5.537,.00,0,0,3.099,0.000,2.680,5.537,.00,0,0,3.099,0.000,2.680,5.537,.00,0,0,3.098,0.000,2.679,5.536,.00,0,0,3.098,0.000,2.679,5.536,.00,0,0,3.098,0.000,2.679,5.536,.00,0,0,3.098,0.000,2.679,5.536,.00,0,0,3.098,0.000,2.679,5.536,.00,0,0,3.098,0.000,2.679,5.536,.00
00:00.869,0,0,3.285,0.000,2.680,5.537,.00,0,0,3.285,0.000,2.680,5.537,.00,0,0,3.285,0.000,2.680,5.537,.00,0,0,3.285,0.000,2.680,5.537,.00,0,0,3.285,0.000,2.680,5.537,.00,0,0,3.285,0.000,2.680,5.537,.00,0,0,3.285,0.000,2.680,5.537,.00,0,0,3.285,-0.001,2.680,5.537,.00,0,0,3.285,-0.001,2.680,5.537,.00,0,0,3.285,-0.001,2.680,5.537,.00,0,0,3.285,-0.001,2.680,5.537,.00,0,0,3.285,-0.001,2.679,5.536,.00,0,0,3.285,-0.001,2.679,5.536,.00,0,0,3.285,-0.001,2.679,5.536,.00,0,0,3.285,-0.001,2.679,5.536,.00,0,0,3.285,-0.001,2.679,5.536,.00,0,0,3.285,-0.001,2.679,5.536,.00
00:00.969,0,0,3.447,0.000,2.680,6.108,.00,0,0,3.447,0.000,2.680,6.108,.00,0,0,3.447,0.000,2.680,6.108,.00,0,0,3.447,0.000,2.680,6.108,.00,0,0,3.447,0.000,2.680,6.108,.00,0,0,3.447,0.000,2.680,6.108,.00,0,0,3.447,0.000,2.680,6.108,.00,0,0,3.447,-0.001,2.680,6.108,.00,0,0,3.447,-0.001,2.680,6.108,.00,0,0,3.447,-0.001,2.680,6.108,.00,0,0,3.447,-0.001,2.680,6.108,.00,0,0,3.447,-0.001,2.679,6.108,.00,0,0,3.447,-0.001,2.679,6.108,.00,0,0,3.447,-0.001,2.679,6.108,.00,0,0,3.447,-0.001,2.679,6.108,.00,0,0,3.447,-0.001,2.679,6.108,.00,0,0,3.447,-0.001,2.679,6.108,.00
00:01.069,0,0,3.828,0.000,2.680,6.680,.00,0,0,3.828,0.000,2.680,6.680,.00,0,0,3.828,0.000,2.680,6.680,.00,0,0,3.739,-0.045,2.680,6.680,.00,0,0,3.739,-0.045,2.680,6.680,.00,0,0,3.739,-0.045,2.680,6.680,.00,0,0,3.739,-0.045,2.680,6.680,.00,0,0,3.739,-0.045,2.680,6.680,.00,0,0,3.739,-0.045,2.680,6.680,.00,0,0,3.739,-0.045,2.680,6.680,.00,0,0,3.739,-0.045,2.680,6.680,.00,0,0,3.738,-0.045,2.679,6.679,.00,0,0,3.738,-0.045,2.679,6.679,.00,0,0,3.738,-0.045,2.679,6.679,.00,0,0,3.738,-0.045,2.679,6.679,.00,0,0,3.738,-0.045,2.679,6.679,.00,0,0,3.738,-0.045,2.679,6.679,.00
00:01.169,0,0,4.119,-0.045,2.680,7.251,.00,0,0,4.119,-0.045,2.680,7.251,.00,0,0,4.119,-0.045,2.680,7.251,.00,0,0,4.030,-0.090,2.680,7.251,.00,0,0,4.030,-0.090,2.680,7.251,.00,0,0,4.030,-0.090,2.680,7.251,.00,0,0,4.030,-0.090,2.680,7.251,.00,0,0,4.030,-0.090,2.680,7.251,.00,0,0,4.030,-0.090,2.680,7.251,.00,0,0,4.030,-0.090,2.680,7.251,.00,0,0,4.030,-0.090,2.680,7.251,.00,0,0,4.030,-0.090,2.679,7.251,.00,0,0,4.030,-0.090,2.679,7.251,.00,0,0,4.030,-0.090,2.679,7.251,.00,0,0,4.030,-0.090,2.679,7.251,.00,0,0,4.030,-0.090,2.679,7.251,.00,0,0,4.030,-0.090,2.679,7.251,.00
00:01.269,0,0,4.411,-0.090,2.680,7.822,.00,0,0,4.411,-0.090,2.680,7.822,.00,0,0,4.411,-0.090,2.680,7.822,.00,0,0,4.321,-0.135,2.680,7.822,.00,0,0,4.321,-0.135,2.680,7.822,.00,0,0,4.321,-0.135,2.680,7.822,.00,0,0,4.321,-0.135,2.680,7.822,.00,0,0,4.322,-0.135,2.680,7.822,.00,0,0,4.322,-0.135,2.680,7.822,.00,0,0,4.322,-0.135,2.680,7.822,.00,0,0,4.322,-0.135,2.680,7.822,.00,0,0,4.321,-0.135,2.679,7.821,.00,0,0,4.321,-0.135,2.679,7.821,.00,0,0,4.321,-0.135,2.679,7.821,.00,0,0,4.321,-0.135,2.679,7.821,.00,0,0,4.321,-0.135,2.679,7.821,.00,0,0,4.321,-0.135,2.679,7.821,.00
