,ID 1558,ID 1558,ID 1558,ID 1558,ID 1558,ID 1558,ID 1558,ID 1523,ID 1523,ID 1523,ID 1523,ID 1523,ID 1523,ID 1523,ID 2022,ID 2022,ID 2022,ID 2022,ID 2022,ID 2022,ID 2022,ID 1929,ID 1929,ID 1929,ID 1929,ID 1929,ID 1929,ID 1929,ID 1623,ID 1623,ID 1623,ID 1623,ID 1623,ID 1623,ID 1623,ID 1871,ID 1871,ID 1871,ID 1871,ID 1871,ID 1871,ID 1871,ID 2122,ID 2122,ID 2122,ID 2122,ID 2122,ID 2122,ID 2122
,PETRZILKOVA,PETRZILKOVA,PETRZILKOVA,PETRZILKOVA,PETRZILKOVA,PETRZILKOVA,PETRZILKOVA,PONETTE,PONETTE,PONETTE,PONETTE,PONETTE,PONETTE,PONETTE,CIRIC,CIRIC,CIRIC,CIRIC,CIRIC,CIRIC,CIRIC,ERTZGAARD,ERTZGAARD,ERTZGAARD,ERTZGAARD,ERTZGAARD,ERTZGAARD,ERTZGAARD,BAAS,BAAS,BAAS,BAAS,BAAS,BAAS,BAAS,POLINARI,POLINARI,POLINARI,POLINARI,POLINARI,POLINARI,POLINARI,MELNYK,MELNYK,MELNYK,MELNYK,MELNYK,MELNYK,MELNYK
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,2.553,2.553,.00,0,0,0.000,0.000,2.554,2.554,.00,0,0,0.000,0.000,2.553,2.553,.00,0,0,0.000,0.000,2.553,2.553,.00,0,0,0.000,0.000,2.554,2.554,.00,0,0,0.000,0.000,2.553,2.553,.00,0,0,0.000,0.000,2.554,2.554,.00
00:00.000,0,0,0.000,0.000,2.553,2.553,.00,0,0,0.000,0.000,2.554,2.554,.00,0,0,0.000,0.000,2.553,2.553,.00,0,0,0.000,0.000,2.553,2.553,.00,0,0,0.000,0.000,2.554,2.554,.00,0,0,0.000,0.000,2.553,2.553,.00,0,0,0.000,0.000,2.554,2.554,.00
00:00.447,0,0,0.000,0.000,3.124,3.124,.00,0,0,0.000,0.000,3.125,3.125,.00,0,0,0.000,0.000,3.124,3.124,.00,0,0,0.000,0.000,3.125,3.125,.00,0,0,0.000,0.000,3.125,3.125,.00,0,0,0.000,0.000,3.124,3.124,.00,0,0,0.000,0.000,3.124,3.124,.00
00:00.547,0,0,0.000,0.000,3.124,3.696,.00,0,0,0.000,0.000,3.125,3.696,.00,0,0,0.000,0.000,3.124,3.696,.00,0,0,0.000,0.000,3.125,3.696,.00,0,0,0.000,0.000,3.125,3.696,.00,0,0,0.000,0.000,3.124,3.696,.00,0,0,0.000,0.000,3.124,3.696,.00
00:00.547,0,0,0.400,0.000,3.124,3.696,.00,0,0,0.400,0.000,3.125,3.696,.00,0,0,0.400,0.000,3.124,3.696,.00,0,0,0.400,0.000,3.125,3.696,.00,0,0,0.400,0.000,3.125,3.696,.00,0,0,0.400,0.000,3.124,3.696,.00,0,0,0.400,0.000,3.124,3.696,.00
00:00.547,0,0,1.000,0.000,3.124,3.696,.00,0,0,1.000,0.000,3.125,3.696,.00,0,0,1.000,0.000,3.124,3.696,.00,0,0,1.000,0.000,3.125,3.696,.00,0,0,1.000,0.000,3.125,3.696,.00,0,0,1.000,0.000,3.124,3.696,.00,0,0,1.000,0.000,3.124,3.696,.00
00:00.647,0,0,1.673,0.000,3.124,4.267,.00,0,0,1.673,0.000,3.125,4.267,.00,0,0,1.673,0.000,3.124,4.268,.00,0,0,1.673,0.000,3.125,4.268,.00,0,0,1.673,0.000,3.125,4.267,.00,0,0,1.673,0.000,3.124,4.267,.00,0,0,1.673,0.000,3.124,4.268,.00
00:00.747,43.057,8.564,2.179,0.000,3.124,4.839,.00,49.858,10.56,2.179,0.000,3.125,4.839,.00,55.928,14.306,2.179,0.000,3.124,4.839,.00,61.495,18.36,2.179,0.000,3.125,4.839,.00,66.025,23.58,2.179,0.000,3.125,4.839,.00,69.82,28.723,2.179,0.000,3.124,4.839,.00,72.94,33.74,2.179,0.000,3.124,4.839,.00
00:00.747,43.057,8.564,2.571,0.000,3.124,4.839,.00,49.858,10.56,2.571,0.000,3.125,4.839,.00,55.928,14.306,2.571,0.000,3.124,4.839,.00,61.495,18.36,2.571,0.000,3.125,4.839,.00,66.025,23.58,2.571,0.000,3.125,4.839,.00,69.82,28.723,2.571,0.000,3.124,4.839,.00,72.94,33.74,2.571,0.000,3.124,4.839,.00
00:00.747,43.057,8.564,2.886,0.000,3.124,4.839,.00,49.858,10.56,2.886,0.000,3.125,4.839,.00,55.928,14.306,2.886,0.000,3.124,4.839,.00,61.495,18.36,2.886,0.000,3.125,4.839,.00,66.025,23.58,2.886,0.000,3.125,4.839,.00,69.82,28.723,2.886,0.000,3.124,4.839,.00,72.94,33.74,2.886,0.000,3.124,4.839,.00
00:00.847,43.485,8.763,3.143,0.000,3.124,5.410,24.39,50.132,10.798,3.143,0.000,3.125,5.410,27.79,56.254,14.522,3.143,0.000,3.124,5.411,29.43,61.781,18.719,3.143,0.000,3.125,5.410,30.50,66.227,23.796,3.143,0.000,3.125,5.410,30.01,69.922,29.101,3.143,0.000,3.124,5.411,29.06,73.048,34.075,3.143,0.000,3.124,5.410,27.72
00:00.947,43.847,8.928,3.357,0.000,3.124,5.982,24.55,50.4,11.092,3.357,0.000,3.125,5.982,27.81,56.514,14.764,3.357,0.000,3.124,5.982,29.51,62.018,19.063,3.357,0.000,3.125,5.982,30.45,66.486,24.297,3.357,-0.001,3.125,5.982,30.00,69.976,29.585,3.357,-0.001,3.124,5.982,28.86,73.102,34.574,3.357,0.000,3.124,5.982,27.56
00:00.947,43.847,8.928,3.538,0.000,3.124,5.982,24.55,50.4,11.092,3.538,0.000,3.125,5.982,27.81,56.514,14.764,3.538,0.000,3.124,5.982,29.51,62.018,19.063,3.538,0.000,3.125,5.982,30.45,66.486,24.297,3.538,-0.001,3.125,5.982,30.00,69.976,29.585,3.538,-0.001,3.124,5.982,28.86,73.102,34.574,3.538,0.000,3.124,5.982,27.56
00:00.947,43.847,8.928,3.693,-0.001,3.124,5.982,24.55,50.4,11.092,3.693,-0.001,3.125,5.982,27.81,56.514,14.764,3.693,-0.001,3.124,5.982,29.51,62.018,19.063,3.693,0.000,3.125,5.982,30.45,66.486,24.297,3.693,-0.001,3.125,5.982,30.00,69.976,29.585,3.693,-0.001,3.124,5.982,28.86,73.102,34.574,3.694,0.000,3.124,5.982,27.56
00:01.047,44.286,9.117,3.828,-0.001,3.124,6.553,24.69,50.828,11.436,3.828,-0.001,3.125,6.554,27.79,56.811,14.981,3.828,-0.001,3.124,6.553,29.52,62.289,19.417,3.743,-0.043,3.125,6.553,30.37,66.716,24.707,3.743,-0.043,3.125,6.554,29.83,70.122,30.006,3.743,-0.043,3.124,6.554,28.56,73.224,35.022,3.743,-0.043,3.124,6.553,27.24
