,ID 1029,ID 1029,ID 1029,ID 1029,ID 1029,ID 1029,ID 1029,ID 787,ID 787,ID 787,ID 787,ID 787,ID 787,ID 787,ID 1065,ID 1065,ID 1065,ID 1065,ID 1065,ID 1065,ID 1065,ID 894,ID 894,ID 894,ID 894,ID 894,ID 894,ID 894
,BENKUNSKAS,BENKUNSKAS,BENKUNSKAS,BENKUNSKAS,BENKUNSKAS,BENKUNSKAS,BENKUNSKAS,GLETTY,GLETTY,GLETTY,GLETTY,GLETTY,GLETTY,GLETTY,TESSELAAR,TESSELAAR,TESSELAAR,TESSELAAR,TESSELAAR,TESSELAAR,TESSELAAR,ANDREOGLOU,ANDREOGLOU,ANDREOGLOU,ANDREOGLOU,ANDREOGLOU,ANDREOGLOU,ANDREOGLOU
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,43.081,78.576,0.000,0.000,4.827,4.827,.00,42.914,78.542,0.000,0.000,4.827,4.827,.00,43.157,81.265,0.000,0.000,4.827,4.827,.00,43.214,81.311,0.000,0.000,4.827,4.827,.00
00:00.000,43.081,78.576,0.000,0.000,4.827,4.827,.00,42.914,78.542,0.000,0.000,4.827,4.827,.00,43.157,81.265,0.000,0.000,4.827,4.827,.00,43.214,81.311,0.000,0.000,4.827,4.827,.00
00:00.845,43.012,78.595,0.667,0.000,5.399,5.399,25.10,42.855,78.568,0.667,0.000,5.399,5.399,25.19,43.1,81.274,0.667,0.000,5.399,5.399,26.95,43.173,81.332,0.667,0.000,5.399,5.399,26.94
00:00.945,42.93,78.642,1.500,0.000,5.399,5.970,25.16,42.75,78.552,1.500,0.000,5.399,5.970,25.25,42.994,81.311,1.500,0.000,5.399,5.970,26.99,43.103,81.341,1.500,0.000,5.399,5.970,26.98
00:00.945,42.93,78.642,2.343,0.000,5.399,5.970,25.16,42.75,78.552,2.343,0.000,5.399,5.970,25.25,42.994,81.311,2.343,0.000,5.399,5.970,26.99,43.103,81.341,2.343,0.000,5.399,5.970,26.98
00:00.945,42.93,78.642,2.905,0.000,5.399,5.970,25.16,42.75,78.552,2.905,0.000,5.399,5.970,25.25,42.994,81.311,2.905,0.000,5.399,5.970,26.99,43.103,81.341,2.905,0.000,5.399,5.970,26.98
00:01.045,42.834,78.715,3.306,0.000,5.399,6.542,25.25,42.628,78.594,3.306,0.000,5.399,6.542,25.32,42.846,81.343,3.306,0.000,5.399,6.542,27.09,43.022,81.33,3.288,-0.037,5.399,6.542,27.04
00:01.145,42.711,78.782,3.591,-0.032,5.399,7.113,25.37,42.499,78.684,3.591,-0.032,5.399,7.113,25.43,42.728,81.34,3.591,-0.032,5.399,7.113,27.22,42.927,81.327,3.575,-0.065,5.399,7.113,27.09
