,ID 1672,ID 1672,ID 1672,ID 1672,ID 1672,ID 1672,ID 1672,ID 1822,ID 1822,ID 1822,ID 1822,ID 1822,ID 1822,ID 1822,ID 1721,ID 1721,ID 1721,ID 1721,ID 1721,ID 1721,ID 1721,ID 1604,ID 1604,ID 1604,ID 1604,ID 1604,ID 1604,ID 1604,ID 2086,ID 2086,ID 2086,ID 2086,ID 2086,ID 2086,ID 2086,ID 1718,ID 1718,ID 1718,ID 1718,ID 1718,ID 1718,ID 1718,ID 1768,ID 1768,ID 1768,ID 1768,ID 1768,ID 1768,ID 1768,ID 1984,ID 1984,ID 1984,ID 1984,ID 1984,ID 1984,ID 1984,ID 1824,ID 1824,ID 1824,ID 1824,ID 1824,ID 1824,ID 1824,ID 1697,ID 1697,ID 1697,ID 1697,ID 1697,ID 1697,ID 1697,ID 1965,ID 1965,ID 1965,ID 1965,ID 1965,ID 1965,ID 1965,ID 1594,ID 1594,ID 1594,ID 1594,ID 1594,ID 1594,ID 1594,ID 1846,ID 1846,ID 1846,ID 1846,ID 1846,ID 1846,ID 1846
,GUILLEMOT,GUILLEMOT,GUILLEMOT,GUILLEMOT,GUILLEMOT,GUILLEMOT,GUILLEMOT,HEALY,HEALY,HEALY,HEALY,HEALY,HEALY,HEALY,SNOWDEN,SNOWDEN,SNOWDEN,SNOWDEN,SNOWDEN,SNOWDEN,SNOWDEN,PEREZ,PEREZ,PEREZ,PEREZ,PEREZ,PEREZ,PEREZ,NGARAMBE,NGARAMBE,NGARAMBE,NGARAMBE,NGARAMBE,NGARAMBE,NGARAMBE,REEKIE,REEKIE,REEKIE,REEKIE,REEKIE,REEKIE,REEKIE,WE?EL,WE?EL,WE?EL,WE?EL,WE?EL,WE?EL,WE?EL,AFONSO,AFONSO,AFONSO,AFONSO,AFONSO,AFONSO,AFONSO,MAGEEAN,MAGEEAN,MAGEEAN,MAGEEAN,MAGEEAN,MAGEEAN,MAGEEAN,BELL,BELL,BELL,BELL,BELL,BELL,BELL,PLOCINSKA,PLOCINSKA,PLOCINSKA,PLOCINSKA,PLOCINSKA,PLOCINSKA,PLOCINSKA,GUERRERO,GUERRERO,GUERRERO,GUERRERO,GUERRERO,GUERRERO,GUERRERO,CAVALLI,CAVALLI,CAVALLI,CAVALLI,CAVALLI,CAVALLI,CAVALLI
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.797,41.643,80.066,1.937,0.000,3.410,5.125,2.01,41.82,80.688,1.937,0.000,3.410,5.125,1.27,41.722,81.79,1.937,0.000,3.410,5.125,.35,41.901,82.455,1.937,0.000,3.410,5.125,.34,41.709,83.186,1.937,0.000,3.410,5.125,1.10,41.728,84.01,1.937,0.000,3.410,5.125,1.78,41.772,84.946,1.937,0.000,3.410,5.125,2.69,41.748,85.499,1.937,0.000,3.410,5.125,3.25,41.578,86.16,1.934,0.000,3.410,5.125,3.66,41.693,86.884,1.937,0.000,3.410,5.125,4.49,41.45,87.657,1.937,0.000,3.410,5.125,5.15,41.361,88.412,2.572,0.000,3.410,5.125,5.84,41.388,89.465,2.572,0.000,3.410,5.125,6.95
00:00.797,41.643,80.066,2.315,0.000,3.410,5.125,2.01,41.82,80.688,2.315,0.000,3.410,5.125,1.27,41.722,81.79,2.315,0.000,3.410,5.125,.35,41.901,82.455,2.315,0.000,3.410,5.125,.34,41.709,83.186,2.315,0.000,3.410,5.125,1.10,41.728,84.01,2.315,0.000,3.410,5.125,1.78,41.772,84.946,2.315,0.000,3.410,5.125,2.69,41.748,85.499,2.315,0.000,3.410,5.125,3.25,41.578,86.16,2.311,0.000,3.410,5.125,3.66,41.693,86.884,2.315,0.000,3.410,5.125,4.49,41.45,87.657,2.315,0.000,3.410,5.125,5.15,41.361,88.412,2.886,0.000,3.410,5.125,5.84,41.388,89.465,2.886,0.000,3.410,5.125,6.95
00:00.897,41.248,80.291,2.624,-0.001,3.410,5.696,2.00,41.354,80.861,2.624,-0.001,3.410,5.696,1.36,41.264,81.898,2.624,-0.001,3.410,5.696,.38,41.543,82.479,2.624,-0.001,3.410,5.696,.31,41.374,83.188,2.624,-0.001,3.410,5.696,.93,41.329,84.009,2.624,-0.001,3.410,5.696,1.72,41.383,84.981,2.624,-0.001,3.410,5.696,2.61,41.388,85.508,2.624,-0.001,3.410,5.696,3.13,41.298,86.253,2.620,0.000,3.410,5.696,3.69,41.328,86.932,2.624,-0.001,3.410,5.696,4.41,41.095,87.7,2.624,-0.001,3.410,5.696,5.06,40.985,88.435,3.143,0.000,3.410,5.702,5.76,40.868,89.494,3.143,0.000,3.410,5.702,6.78
00:00.998,40.822,80.456,2.881,-0.001,3.410,6.268,1.95,40.957,80.961,2.881,-0.001,3.410,6.268,1.38,40.831,82.062,2.881,-0.001,3.410,6.268,.43,41.034,82.682,2.881,-0.001,3.410,6.268,.21,40.915,83.253,2.881,-0.001,3.410,6.268,.82,40.924,84.074,2.881,-0.001,3.410,6.268,1.58,40.982,85.054,2.881,-0.001,3.410,6.268,2.52,40.945,85.552,2.881,-0.001,3.410,6.268,3.01,40.912,86.303,2.877,0.001,3.410,6.268,3.68,40.921,86.941,2.881,-0.001,3.410,6.268,4.33,40.677,87.746,2.881,-0.001,3.410,6.268,5.00,40.724,88.428,3.357,-0.001,3.410,6.268,5.67,40.555,89.637,3.358,-0.001,3.410,6.274,6.66
00:00.998,40.822,80.456,3.099,-0.001,3.410,6.268,1.95,40.957,80.961,3.099,-0.001,3.410,6.268,1.38,40.831,82.062,3.099,-0.001,3.410,6.268,.43,41.034,82.682,3.099,-0.001,3.410,6.268,.21,40.915,83.253,3.099,-0.001,3.410,6.268,.82,40.924,84.074,3.099,-0.001,3.410,6.268,1.58,40.982,85.054,3.099,-0.001,3.410,6.268,2.52,40.945,85.552,3.099,-0.001,3.410,6.268,3.01,40.912,86.303,3.094,0.001,3.410,6.268,3.68,40.921,86.941,3.099,-0.001,3.410,6.268,4.33,40.677,87.746,3.099,-0.001,3.410,6.268,5.00,40.724,88.428,3.539,-0.001,3.410,6.268,5.67,40.555,89.637,3.539,-0.001,3.410,6.274,6.66
00:00.998,40.822,80.456,3.286,-0.001,3.410,6.268,1.95,40.957,80.961,3.286,-0.001,3.410,6.268,1.38,40.831,82.062,3.286,-0.001,3.410,6.268,.43,41.034,82.682,3.286,-0.001,3.410,6.268,.21,40.915,83.253,3.286,-0.001,3.410,6.268,.82,40.924,84.074,3.286,-0.001,3.410,6.268,1.58,40.982,85.054,3.286,-0.001,3.410,6.268,2.52,40.945,85.552,3.286,-0.001,3.410,6.268,3.01,40.912,86.303,3.281,0.001,3.410,6.268,3.68,40.921,86.941,3.286,-0.001,3.410,6.268,4.33,40.677,87.746,3.286,-0.001,3.410,6.268,5.00,40.724,88.428,3.694,-0.001,3.410,6.268,5.67,40.555,89.637,3.695,-0.001,3.410,6.274,6.66
00:01.098,40.439,80.564,3.448,-0.002,4.685,6.839,1.94,40.521,81.071,3.448,-0.002,4.578,6.839,1.41,40.411,82.171,3.448,-0.002,4.817,6.839,.42,40.734,82.844,3.448,-0.002,4.698,6.839,.23,40.503,83.327,3.448,-0.002,4.490,6.839,.73,40.512,84.143,3.448,-0.002,4.580,6.839,1.51,40.57,85.06,3.448,-0.002,4.447,6.839,2.45,40.528,85.628,3.448,-0.002,4.578,6.839,2.91,40.513,86.278,3.443,0.001,4.455,6.839,3.61,40.494,86.957,3.448,-0.002,4.462,6.839,4.22,40.333,87.749,3.448,-0.002,4.565,6.839,4.93,40.395,88.423,3.829,-0.001,3.410,6.845,5.59,40.381,89.645,3.735,-0.048,4.575,6.845,6.70
00:01.198,39.921,80.736,3.734,-0.049,4.685,7.411,1.96,40.158,81.146,3.734,-0.049,4.578,7.411,1.46,40.004,82.275,3.734,-0.049,4.817,7.411,.46,40.414,82.883,3.734,-0.049,4.698,7.411,.28,39.939,83.4,3.734,-0.049,4.490,7.411,.66,40.222,84.177,3.734,-0.049,4.580,7.411,1.43,40.207,85.031,3.734,-0.049,4.447,7.411,2.32,40.108,85.684,3.734,-0.049,4.578,7.411,2.85,40.026,86.275,3.728,-0.046,4.455,7.411,3.47,40.143,86.99,3.734,-0.049,4.462,7.411,4.12,39.988,87.796,3.734,-0.049,4.565,7.417,4.83,39.98,88.44,4.115,-0.048,4.733,7.417,5.49,40.017,89.7,4.021,-0.095,4.575,7.417,6.66
00:01.298,39.436,80.88,4.020,-0.096,4.685,7.981,1.97,39.754,81.261,4.020,-0.096,4.578,7.981,1.51,39.556,82.324,4.020,-0.096,4.817,7.981,.50,39.852,83.031,4.020,-0.096,4.698,7.981,.21,39.535,83.348,4.020,-0.096,4.490,7.987,.55,39.817,84.19,4.020,-0.096,4.580,7.987,1.38,39.817,85.056,4.020,-0.096,4.447,7.987,2.19,39.658,85.685,4.020,-0.096,4.578,7.987,2.79,39.57,86.278,4.014,-0.093,4.455,7.987,3.33,39.722,87.007,4.020,-0.096,4.462,7.987,4.05,39.571,87.838,4.020,-0.096,4.565,7.987,4.78,39.468,88.49,4.401,-0.095,4.733,7.987,5.39,39.518,89.731,4.307,-0.143,4.575,7.987,6.61
00:01.398,38.934,81.005,4.307,-0.144,6.138,8.000,2.00,39.371,81.433,4.307,-0.144,5.820,8.000,1.54,39.04,82.343,4.307,-0.144,6.122,8.000,.59,39.399,83.034,4.307,-0.144,5.935,8.000,.17,39.093,83.317,4.307,-0.144,5.873,8.000,.38,39.416,84.205,4.307,-0.144,5.693,8.000,1.27,39.296,85.079,4.307,-0.144,5.612,8.000,2.10,39.212,85.734,4.307,-0.144,5.872,8.000,2.66,39.17,86.289,4.300,-0.140,5.797,8.000,3.20,39.246,87.048,4.307,-0.144,5.663,8.000,3.95,39.092,87.926,4.307,-0.144,5.674,8.000,4.70,38.939,88.518,4.687,-0.142,4.733,8.000,5.30,39.138,89.766,4.594,-0.190,5.619,8.000,6.50
