,ID 1875,ID 1875,ID 1875,ID 1875,ID 1875,ID 1875,ID 1875,ID 2110,ID 2110,ID 2110,ID 2110,ID 2110,ID 2110,ID 2110,ID 1662,ID 1662,ID 1662,ID 1662,ID 1662,ID 1662,ID 1662,ID 1943,ID 1943,ID 1943,ID 1943,ID 1943,ID 1943,ID 1943,ID 2050,ID 2050,ID 2050,ID 2050,ID 2050,ID 2050,ID 2050,ID 1985,ID 1985,ID 1985,ID 1985,ID 1985,ID 1985,ID 1985
,TREVISAN,TREVISAN,TREVISAN,TREVISAN,TREVISAN,TREVISAN,TREVISAN,KARPIUK,KARPIUK,KARPIUK,KARPIUK,KARPIUK,KARPIUK,KARPIUK,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:01.123,51.028,11.541,4.130,-0.041,4.375,6.988,27.89,57.255,15.391,4.128,-0.039,4.000,6.988,29.68,62.369,19.805,4.129,-0.040,2.987,6.987,30.26,66.612,24.621,4.128,-0.039,4.008,6.988,29.86,70.401,30.254,4.128,-0.039,4.156,6.988,28.66,73.345,35.275,4.128,-0.041,4.220,6.988,27.15
00:01.223,51.465,11.829,4.430,-0.081,4.375,7.559,27.92,57.66,15.696,4.428,-0.080,4.000,7.559,29.60,62.679,20.253,4.429,-0.081,2.987,7.559,30.10,66.799,25.023,4.428,-0.080,4.008,7.559,29.69,70.564,30.797,4.428,-0.080,4.156,7.559,28.39,73.396,35.692,4.429,-0.081,4.220,7.559,26.92
00:01.323,51.879,12.181,4.730,-0.122,4.375,8.000,28.03,58.012,16.067,4.728,-0.120,5.437,8.000,29.67,62.972,20.738,4.729,-0.121,4.002,8.000,30.00,67.015,25.549,4.728,-0.120,5.360,8.000,29.54,70.749,31.269,4.728,-0.120,5.202,8.000,28.12,73.5,36.246,4.729,-0.122,4.220,8.000,26.66
00:01.423,52.341,12.545,5.031,-0.162,8.000,8.000,28.07,58.4,16.572,5.029,-0.160,8.000,8.000,29.66,63.314,21.252,5.030,-0.161,8.000,8.000,29.86,67.224,26.074,5.029,-0.160,8.000,8.000,29.32,70.924,31.779,5.029,-0.160,8.000,8.000,27.92,73.586,36.776,5.029,-0.162,8.000,8.000,26.34
00:01.523,52.779,12.862,5.187,-0.198,8.000,8.000,28.14,58.78,17.085,5.186,-0.195,8.000,8.000,29.58,63.619,21.651,5.187,-0.196,8.000,8.000,29.74,67.436,26.609,5.181,-0.197,8.000,8.000,29.10,71.106,32.287,5.198,-0.189,8.000,8.000,27.68,73.679,37.323,5.179,-0.201,8.000,8.000,26.03
00:01.623,53.291,13.3,5.211,-0.233,8.000,8.000,28.23,59.158,17.586,5.211,-0.229,8.000,8.000,29.48,63.966,22.189,5.211,-0.231,8.000,8.000,29.68,67.676,27.247,5.200,-0.235,8.000,8.000,28.87,71.313,32.955,5.234,-0.218,8.000,8.000,27.45,73.702,37.921,5.195,-0.240,8.000,8.000,25.71
00:01.723,53.877,13.837,5.120,-0.268,8.000,8.000,28.28,59.595,18.183,5.121,-0.264,8.000,8.000,29.40,64.269,22.728,5.121,-0.266,8.000,8.000,29.54,67.945,27.915,5.105,-0.272,8.000,8.000,28.59,71.471,33.627,5.155,-0.247,8.000,8.000,27.12,73.769,38.592,5.097,-0.279,8.000,8.000,25.30
00:01.823,54.385,14.272,5.028,-0.304,8.000,8.000,28.31,60.026,18.771,5.031,-0.299,8.000,8.000,29.28,64.552,23.312,5.031,-0.301,8.000,8.000,29.37,68.221,28.574,5.010,-0.310,8.000,8.000,28.31,71.678,34.36,5.077,-0.276,8.000,8.000,26.76,73.85,39.289,4.999,-0.317,8.000,8.000,24.87
00:01.923,55.006,14.89,4.937,-0.339,8.000,8.000,28.36,60.442,19.324,4.941,-0.334,8.000,8.000,29.17,64.905,23.979,4.941,-0.336,8.000,8.000,29.16,68.501,29.244,4.915,-0.347,8.000,8.000,28.03,71.814,35.105,4.999,-0.305,8.137,8.137,26.39,73.913,40.063,4.902,-0.356,8.000,8.000,24.44
00:02.023,55.608,15.475,4.846,-0.374,8.322,8.322,28.37,60.834,19.895,4.851,-0.369,8.413,8.413,29.07,65.267,24.641,4.851,-0.371,8.392,8.392,28.94,68.766,29.898,4.819,-0.385,8.383,8.383,27.76,71.973,35.827,4.921,-0.334,8.137,8.870,25.96,73.989,40.848,4.804,-0.395,8.156,8.156,23.94
