,ID 1875,ID 1875,ID 1875,ID 1875,ID 1875,ID 1875,ID 1875,ID 2110,ID 2110,ID 2110,ID 2110,ID 2110,ID 2110,ID 2110,ID 1662,ID 1662,ID 1662,ID 1662,ID 1662,ID 1662,ID 1662,ID 1943,ID 1943,ID 1943,ID 1943,ID 1943,ID 1943,ID 1943,ID 2050,ID 2050,ID 2050,ID 2050,ID 2050,ID 2050,ID 2050,ID 1985,ID 1985,ID 1985,ID 1985,ID 1985,ID 1985,ID 1985
,TREVISAN,TREVISAN,TREVISAN,TREVISAN,TREVISAN,TREVISAN,TREVISAN,KARPIUK,KARPIUK,KARPIUK,KARPIUK,KARPIUK,KARPIUK,KARPIUK,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:01.196,0,0,5.164,-0.092,3.404,7.404,5.19,0,0,5.164,-0.092,3.404,7.405,5.19,0,0,5.165,-0.094,3.405,7.405,5.19,0,0,5.165,-0.094,3.405,7.405,5.19,0,0,5.165,-0.094,3.405,7.405,5.19,0,0,5.165,-0.093,3.404,7.405,5.19
00:01.296,0,0,5.375,-0.111,3.404,7.977,5.19,0,0,5.375,-0.111,3.404,7.976,5.19,0,0,5.375,-0.113,3.405,7.976,5.19,0,0,5.375,-0.113,3.405,7.976,5.19,0,0,5.375,-0.113,3.405,7.976,5.19,0,0,5.290,-0.150,3.404,7.977,5.19
00:01.396,0,0,5.366,-0.168,3.404,8.000,5.19,0,0,5.366,-0.168,3.404,8.000,5.19,0,0,5.366,-0.170,3.405,8.000,5.19,0,0,5.366,-0.170,3.405,8.000,5.19,0,0,5.366,-0.170,3.405,8.000,5.19,0,0,5.281,-0.207,3.404,8.000,5.19
00:01.496,0,0,5.242,-0.225,8.000,8.000,5.19,0,0,5.242,-0.225,8.000,8.000,5.19,0,0,5.243,-0.227,8.000,8.000,5.19,0,0,5.243,-0.227,8.000,8.000,5.19,0,0,5.243,-0.227,8.000,8.000,5.19,0,0,5.158,-0.264,8.000,8.000,5.19
00:01.596,0,0,5.119,-0.282,8.000,8.000,5.19,0,0,5.119,-0.282,8.000,8.000,5.19,0,0,5.119,-0.284,8.000,8.000,5.19,0,0,5.119,-0.284,8.000,8.000,5.19,0,0,5.119,-0.284,8.000,8.000,5.19,0,0,5.034,-0.321,8.000,8.000,5.19
00:01.696,0,0,4.996,-0.338,8.000,8.000,5.19,0,0,4.996,-0.338,8.000,8.000,5.19,0,0,4.996,-0.341,8.000,8.000,5.19,0,0,4.996,-0.341,8.000,8.000,5.19,0,0,4.996,-0.341,8.000,8.000,5.19,0,0,4.911,-0.378,8.000,8.000,5.19
00:01.796,0,0,4.873,-0.395,8.000,8.000,5.19,0,0,4.873,-0.395,8.000,8.000,5.19,0,0,4.873,-0.398,8.000,8.000,5.19,0,0,4.808,-0.416,8.000,8.000,5.19,0,0,4.808,-0.416,8.000,8.000,5.19,0,0,4.723,-0.453,8.000,8.000,5.19
00:01.896,0,0,4.685,-0.470,8.000,8.000,5.19,0,0,4.685,-0.470,8.000,8.000,5.19,0,0,4.685,-0.472,8.000,8.000,5.19,0,0,4.621,-0.490,8.000,8.000,5.19,0,0,4.621,-0.490,8.000,8.000,5.19,0,0,4.536,-0.528,8.000,8.000,5.19
00:01.996,0,0,4.497,-0.545,8.000,8.000,5.19,0,0,4.497,-0.545,8.000,8.000,5.19,0,0,4.497,-0.547,8.000,8.000,5.19,0,0,4.433,-0.565,8.000,8.000,5.19,0,0,4.433,-0.565,8.000,8.000,5.19,0,0,4.348,-0.603,8.000,8.000,5.19
00:02.096,0,0,4.310,-0.620,8.000,8.000,5.19,0,0,4.310,-0.620,8.000,8.000,5.19,0,0,4.310,-0.622,8.000,8.000,5.19,0,0,4.245,-0.640,8.000,8.000,5.19,0,0,4.245,-0.640,8.000,8.000,5.19,0,0,4.160,-0.677,8.000,8.000,5.19
