,ID 1812,ID 1812,ID 1812,ID 1812,ID 1812,ID 1812,ID 1812,ID 1960,ID 1960,ID 1960,ID 1960,ID 1960,ID 1960,ID 1960,ID 1730,ID 1730,ID 1730,ID 1730,ID 1730,ID 1730,ID 1730,ID 1889,ID 1889,ID 1889,ID 1889,ID 1889,ID 1889,ID 1889,ID 1508,ID 1508,ID 1508,ID 1508,ID 1508,ID 1508,ID 1508,ID 1542,ID 1542,ID 1542,ID 1542,ID 1542,ID 1542,ID 1542,ID 1808,ID 1808,ID 1808,ID 1808,ID 1808,ID 1808,ID 1808,ID 2135,ID 2135,ID 2135,ID 2135,ID 2135,ID 2135,ID 2135,ID 1803,ID 1803,ID 1803,ID 1803,ID 1803,ID 1803,ID 1803,ID 1713,ID 1713,ID 1713,ID 1713,ID 1713,ID 1713,ID 1713,ID 1857,ID 1857,ID 1857,ID 1857,ID 1857,ID 1857,ID 1857,ID 1909,ID 1909,ID 1909,ID 1909,ID 1909,ID 1909,ID 1909,ID 2041,ID 2041,ID 2041,ID 2041,ID 2041,ID 2041,ID 2041,ID 1532,ID 1532,ID 1532,ID 1532,ID 1532,ID 1532,ID 1532,ID 1677,ID 1677,ID 1677,ID 1677,ID 1677,ID 1677,ID 1677,ID 1526,ID 1526,ID 1526,ID 1526,ID 1526,ID 1526,ID 1526
,SZUCS,SZUCS,SZUCS,SZUCS,SZUCS,SZUCS,SZUCS,LIGARSKA,LIGARSKA,LIGARSKA,LIGARSKA,LIGARSKA,LIGARSKA,LIGARSKA,GRIMM,GRIMM,GRIMM,GRIMM,GRIMM,GRIMM,GRIMM,JUSKEVICIUTE,JUSKEVICIUTE,JUSKEVICIUTE,JUSKEVICIUTE,JUSKEVICIUTE,JUSKEVICIUTE,JUSKEVICIUTE,POSCH,POSCH,POSCH,POSCH,POSCH,POSCH,POSCH,KOSCAK,KOSCAK,KOSCAK,KOSCAK,KOSCAK,KOSCAK,KOSCAK,NEMES,NEMES,NEMES,NEMES,NEMES,NEMES,NEMES,KARLSSON,KARLSSON,KARLSSON,KARLSSON,KARLSSON,KARLSSON,KARLSSON,KRIZSAN,KRIZSAN,KRIZSAN,KRIZSAN,KRIZSAN,KRIZSAN,KRIZSAN,O'DOWDA,O'DOWDA,O'DOWDA,O'DOWDA,O'DOWDA,O'DOWDA,O'DOWDA,GEREVINI,GEREVINI,GEREVINI,GEREVINI,GEREVINI,GEREVINI,GEREVINI,DOKTER,DOKTER,DOKTER,DOKTER,DOKTER,DOKTER,DOKTER,KALIN,KALIN,KALIN,KALIN,KALIN,KALIN,KALIN,VIDTS,VIDTS,VIDTS,VIDTS,VIDTS,VIDTS,VIDTS,LAZRAQ-KHLASS,LAZRAQ-KHLASS,LAZRAQ-KHLASS,LAZRAQ-KHLASS,LAZRAQ-KHLASS,LAZRAQ-KHLASS,LAZRAQ-KHLASS,THIAM,THIAM,THIAM,THIAM,THIAM,THIAM,THIAM
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.842,28.514,7.827,2.571,0.000,3.662,5.377,14.37,28.661,7.239,2.571,0.000,3.661,5.376,15.10,28.663,6.441,2.571,0.000,3.662,5.377,15.47,29.093,6.039,2.571,0.000,3.662,5.376,16.06,29.518,5.303,2.571,0.000,3.661,5.376,16.90,29.603,4.829,2.571,0.000,3.662,5.376,17.27,30.063,4.155,2.571,0.000,3.662,5.376,17.97,30.428,3.649,2.571,0.000,3.662,5.376,18.87,30.663,3.004,2.571,0.000,3.662,5.376,19.36,30.88,1.524,2.571,0.000,3.662,5.376,20.25,43.34,6.076,2.571,0.000,3.662,5.382,26.22,0,0,2.571,0.000,3.662,5.382,.00,44.612,4.937,3.205,0.000,3.662,5.382,28.06,45.088,4.188,3.205,0.000,3.662,5.382,28.88,45.41,3.15,3.205,0.000,3.662,5.382,29.75,45.946,2.387,3.205,0.000,3.662,5.382,30.74
00:00.842,28.514,7.827,2.886,0.000,3.662,5.377,14.37,28.661,7.239,2.886,0.000,3.661,5.376,15.10,28.663,6.441,2.886,0.000,3.662,5.377,15.47,29.093,6.039,2.886,0.000,3.662,5.376,16.06,29.518,5.303,2.886,0.000,3.661,5.376,16.90,29.603,4.829,2.886,0.000,3.662,5.376,17.27,30.063,4.155,2.886,0.000,3.662,5.376,17.97,30.428,3.649,2.885,0.000,3.662,5.376,18.87,30.663,3.004,2.885,0.000,3.662,5.376,19.36,30.88,1.524,2.885,0.000,3.662,5.376,20.25,43.34,6.076,2.885,0.000,3.662,5.382,26.22,0,0,2.885,0.000,3.662,5.382,.00,44.612,4.937,3.456,0.000,3.662,5.382,28.06,45.088,4.188,3.456,0.000,3.662,5.382,28.88,45.41,3.15,3.456,0.000,3.662,5.382,29.75,45.946,2.387,3.456,0.000,3.662,5.382,30.74
00:00.942,28.955,7.916,3.143,0.000,3.662,5.947,14.63,28.901,7.366,3.143,0.000,3.661,5.948,15.15,28.947,6.427,3.143,0.000,3.662,5.947,15.71,29.521,6.146,3.143,0.000,3.662,5.948,16.30,29.774,5.372,3.143,0.000,3.661,5.948,17.12,30.057,4.82,3.143,0.000,3.662,5.947,17.52,30.499,4.237,3.143,0.000,3.662,5.947,18.32,30.784,3.698,3.142,0.000,3.662,5.947,18.94,31.258,3.28,3.142,0.000,3.662,5.947,19.56,32.028,2.55,3.142,0.000,4.911,5.947,20.76,43.686,6.248,3.142,0.000,3.662,5.953,26.35,0,0,3.142,0.000,3.662,5.953,.00,44.826,5.268,3.661,0.001,3.662,5.953,28.05,45.529,4.84,3.661,0.001,3.662,5.953,28.92,45.818,3.403,3.661,0.001,3.662,5.953,29.88,46.234,2.613,3.661,0.001,3.662,5.953,30.80
00:01.042,29.369,7.93,3.357,0.000,3.662,6.519,14.88,29.203,7.296,3.357,0.000,3.661,6.519,15.23,29.541,6.471,3.357,0.000,3.662,6.519,15.92,30.018,6.3,3.357,0.000,3.662,6.519,16.53,30.13,5.499,3.357,0.000,3.661,6.519,17.25,30.452,4.916,3.357,0.000,3.662,6.519,17.85,30.812,4.374,3.357,0.000,4.721,6.519,18.57,31.109,3.902,3.356,0.000,3.662,6.519,19.15,31.617,3.448,3.356,0.000,4.688,6.519,19.78,32.375,2.8,3.356,0.000,6.452,6.519,20.84,44.049,6.472,3.356,0.000,3.662,6.519,26.47,44.49,5.876,3.356,0.000,3.662,6.525,.00,45.261,5.456,3.832,0.001,3.662,6.525,27.97,46.024,5.417,3.832,0.001,4.809,6.525,28.77,46.324,3.8,3.832,0.001,3.662,6.525,29.99,46.583,2.966,3.832,0.001,3.662,6.525,30.84
00:01.042,29.369,7.93,3.538,0.000,3.662,6.519,14.88,29.203,7.296,3.538,0.000,3.661,6.519,15.23,29.541,6.471,3.538,0.000,3.662,6.519,15.92,30.018,6.3,3.538,0.000,3.662,6.519,16.53,30.13,5.499,3.538,0.000,3.661,6.519,17.25,30.452,4.916,3.538,0.000,3.662,6.519,17.85,30.812,4.374,3.538,0.000,4.721,6.519,18.57,31.109,3.902,3.537,0.000,3.662,6.519,19.15,31.617,3.448,3.538,0.000,4.688,6.519,19.78,32.375,2.8,3.537,0.000,6.452,6.519,20.84,44.049,6.472,3.537,0.000,3.662,6.519,26.47,44.49,5.876,3.537,0.000,3.662,6.525,.00,45.261,5.456,3.977,0.001,3.662,6.525,27.97,46.024,5.417,3.977,0.001,4.809,6.525,28.77,46.324,3.8,3.977,0.001,3.662,6.525,29.99,46.583,2.966,3.977,0.001,3.662,6.525,30.84
00:01.042,29.369,7.93,3.603,-0.046,3.662,6.519,14.88,29.203,7.296,3.603,-0.046,3.661,6.519,15.23,29.541,6.471,3.603,-0.046,3.662,6.519,15.92,30.018,6.3,3.603,-0.046,3.662,6.519,16.53,30.13,5.499,3.603,-0.046,3.661,6.519,17.25,30.452,4.916,3.603,-0.046,3.662,6.519,17.85,30.812,4.374,3.603,-0.046,4.721,6.519,18.57,31.109,3.902,3.602,-0.045,3.662,6.519,19.15,31.617,3.448,3.603,-0.045,4.688,6.519,19.78,32.375,2.8,3.603,-0.045,6.452,6.519,20.84,44.049,6.472,3.603,-0.045,3.662,6.519,26.47,44.49,5.876,3.603,-0.045,3.662,6.525,.00,45.261,5.456,4.011,-0.044,3.662,6.525,27.97,46.024,5.417,4.011,-0.044,4.809,6.525,28.77,46.324,3.8,4.011,-0.044,3.662,6.525,29.99,46.583,2.966,4.011,-0.044,3.662,6.525,30.84
00:01.142,29.77,7.97,3.659,-0.085,4.963,7.090,15.16,29.637,7.355,3.659,-0.085,3.661,7.091,15.49,29.768,6.632,3.659,-0.085,4.857,7.090,16.31,30.357,6.486,3.659,-0.085,4.932,7.090,16.77,30.292,5.506,3.659,-0.085,3.661,7.091,17.42,30.725,5.055,3.659,-0.085,4.903,7.091,18.06,30.988,4.493,3.659,-0.085,4.721,7.091,18.69,31.451,4.041,3.659,-0.085,4.754,7.090,19.24,31.816,3.49,3.659,-0.084,4.688,7.090,19.92,32.445,2.807,3.659,-0.084,6.452,7.090,20.91,44.268,6.414,3.659,-0.084,4.929,7.096,26.57,44.722,6.12,3.659,-0.084,3.662,7.096,27.30,45.639,5.626,4.040,-0.083,4.979,7.096,28.15,45.798,4.984,4.040,-0.083,4.809,7.096,28.71,46.59,3.995,4.040,-0.083,5.142,7.096,30.07,46.887,3.215,4.040,-0.083,4.749,7.096,30.84
00:01.242,30.217,7.981,3.956,-0.127,4.963,7.662,15.41,29.979,7.386,3.956,-0.127,4.922,7.662,15.76,30.1,6.78,3.956,-0.127,4.857,7.662,16.36,30.786,6.583,3.956,-0.127,4.932,7.662,16.88,30.616,5.602,3.956,-0.127,4.766,7.661,17.53,31.17,5.303,3.956,-0.127,4.903,7.662,18.15,31.351,4.676,3.956,-0.127,4.721,7.661,18.73,31.838,4.142,3.955,-0.127,4.754,7.662,19.38,32.137,3.615,3.955,-0.127,4.688,7.662,20.03,32.676,2.842,3.956,-0.126,6.452,7.668,20.96,44.563,6.471,3.956,-0.126,4.929,7.668,26.77,44.884,6.064,3.956,-0.126,3.662,7.668,27.30,46.077,5.892,4.337,-0.125,4.979,7.668,28.29,46.228,4.979,4.337,-0.125,4.809,7.668,28.86,46.826,4.199,4.337,-0.125,5.142,7.668,30.12,47.297,3.534,4.337,-0.125,4.749,7.668,30.88
00:01.342,30.706,8.074,4.252,-0.170,4.963,8.000,15.72,30.409,7.464,4.252,-0.170,4.922,8.000,15.98,30.551,6.819,4.252,-0.170,4.857,8.000,16.49,31.209,6.642,4.252,-0.170,4.932,8.000,17.11,31.088,5.649,4.252,-0.170,4.766,8.000,17.69,31.568,5.427,4.252,-0.170,4.903,8.000,18.29,31.949,4.807,4.252,-0.170,4.721,8.000,18.86,32.131,4.251,4.252,-0.169,4.754,8.000,19.58,32.585,3.771,4.252,-0.169,4.688,8.000,20.17,32.946,2.911,4.253,-0.168,6.452,8.000,21.10,44.998,6.683,4.253,-0.168,4.929,8.000,26.94,45.241,6.207,4.253,-0.168,3.662,8.000,27.45,46.324,5.966,4.634,-0.167,4.979,8.000,28.42,46.673,5.228,4.634,-0.167,4.809,8.000,29.17,47.07,4.37,4.634,-0.167,5.142,8.000,30.14,47.727,3.896,4.634,-0.167,4.749,8.000,30.95
00:01.442,31.239,8.205,4.549,-0.212,8.000,8.000,16.00,30.86,7.569,4.549,-0.212,8.000,8.000,16.22,30.935,6.828,4.549,-0.212,8.000,8.000,16.78,31.576,6.653,4.549,-0.212,8.000,8.000,17.37,31.548,5.765,4.549,-0.212,8.000,8.000,17.99,32.017,5.463,4.549,-0.212,8.000,8.000,18.48,32.507,4.948,4.549,-0.212,8.000,8.000,19.19,32.543,4.434,4.548,-0.211,8.000,8.000,19.71,33.164,4.02,4.548,-0.211,8.000,8.000,20.37,33.475,3.264,4.550,-0.210,8.000,8.000,21.24,45.437,6.899,4.550,-0.210,8.000,8.000,27.09,45.939,6.61,4.550,-0.210,8.000,8.000,27.60,46.572,6.089,4.931,-0.209,8.000,8.000,28.54,47.212,5.675,4.931,-0.209,8.000,8.000,29.31,47.595,4.755,4.931,-0.209,8.000,8.000,30.19,48.118,4.202,4.931,-0.209,8.000,8.000,30.99
