,ID 1608,ID 1608,ID 1608,ID 1608,ID 1608,ID 1608,ID 1608,ID 2055,ID 2055,ID 2055,ID 2055,ID 2055,ID 2055,ID 2055,ID 1862,ID 1862,ID 1862,ID 1862,ID 1862,ID 1862,ID 1862,ID 2080,ID 2080,ID 2080,ID 2080,ID 2080,ID 2080,ID 2080,ID 2125,ID 2125,ID 2125,ID 2125,ID 2125,ID 2125,ID 2125,ID 1556,ID 1556,ID 1556,ID 1556,ID 1556,ID 1556,ID 1556,ID 1973,ID 1973,ID 1973,ID 1973,ID 1973,ID 1973,ID 1973
,SEGURA,SEGURA,SEGURA,SEGURA,SEGURA,SEGURA,SEGURA,SENN,SENN,SENN,SENN,SENN,SENN,SENN,MANGIONE,MANGIONE,MANGIONE,MANGIONE,MANGIONE,MANGIONE,MANGIONE,LILJA,LILJA,LILJA,LILJA,LILJA,LILJA,LILJA,SHOSTAK,SHOSTAK,SHOSTAK,SHOSTAK,SHOSTAK,SHOSTAK,SHOSTAK,MANUEL,MANUEL,MANUEL,MANUEL,MANUEL,MANUEL,MANUEL,SWIETY-ERSETIC,SWIETY-ERSETIC,SWIETY-ERSETIC,SWIETY-ERSETIC,SWIETY-ERSETIC,SWIETY-ERSETIC,SWIETY-ERSETIC
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:01.081,43.806,8.876,3.028,-0.143,4.961,6.748,24.56,51.21,11.72,3.466,-0.142,5.094,6.748,27.89,56.988,15.258,3.467,-0.142,5.381,6.748,29.55,62.358,19.747,3.467,-0.142,5.312,6.747,30.25,66.534,24.495,3.467,-0.143,5.196,6.748,29.84,70.269,29.956,3.468,-0.143,5.054,6.748,28.69,73.139,35.298,3.467,-0.142,5.006,6.748,27.00
00:01.081,43.806,8.876,3.204,-0.166,4.961,6.748,24.56,51.21,11.72,3.610,-0.164,5.094,6.748,27.89,56.988,15.258,3.611,-0.165,5.381,6.748,29.55,62.358,19.747,3.611,-0.165,5.312,6.747,30.25,66.534,24.495,3.611,-0.166,5.196,6.748,29.84,70.269,29.956,3.612,-0.166,5.054,6.748,28.69,73.139,35.298,3.611,-0.165,5.006,6.748,27.00
00:01.181,44.07,8.971,3.356,-0.186,4.961,7.319,24.70,51.581,12.05,3.735,-0.184,5.094,7.319,27.92,57.341,15.583,3.736,-0.185,5.381,7.319,29.51,62.629,20.127,3.736,-0.185,5.312,7.319,30.13,66.695,24.944,3.736,-0.186,5.196,7.319,29.73,70.374,30.377,3.737,-0.186,5.054,7.319,28.51,73.206,35.579,3.736,-0.185,5.006,7.319,26.76
00:01.281,44.463,9.105,3.630,-0.254,4.961,7.891,24.82,52,12.339,4.009,-0.253,6.115,7.890,27.95,57.674,15.869,4.010,-0.254,5.381,7.891,29.53,62.883,20.507,4.010,-0.253,5.312,7.890,30.05,66.917,25.404,4.010,-0.254,5.196,7.890,29.52,70.521,30.948,4.011,-0.254,5.054,7.890,28.28,73.259,36.092,4.010,-0.253,6.217,7.891,26.61
00:01.381,44.951,9.36,3.904,-0.323,6.014,8.000,25.00,52.464,12.66,4.283,-0.321,7.188,8.000,28.04,58.052,16.281,4.284,-0.322,6.726,8.000,29.56,63.174,20.993,4.284,-0.322,6.674,8.000,29.96,67.156,25.904,4.284,-0.323,6.669,8.000,29.35,70.726,31.42,4.285,-0.323,6.521,8.000,27.98,73.357,36.607,4.284,-0.322,7.252,8.000,26.28
00:01.481,45.381,9.555,4.178,-0.392,8.000,8.000,25.17,52.934,12.984,4.557,-0.390,8.000,8.000,28.15,58.431,16.712,4.558,-0.391,8.000,8.000,29.54,63.481,21.464,4.558,-0.391,8.000,8.000,29.83,67.446,26.418,4.558,-0.392,8.000,8.000,29.17,70.893,31.91,4.559,-0.392,8.000,8.000,27.79,73.449,37.107,4.558,-0.391,8.000,8.000,25.99
00:01.581,45.893,9.816,4.453,-0.461,8.000,8.000,25.33,53.453,13.443,4.831,-0.459,8.000,8.000,28.25,58.809,17.176,4.833,-0.460,8.000,8.000,29.50,63.782,21.982,4.833,-0.459,8.000,8.000,29.71,67.738,26.931,4.832,-0.461,8.000,8.000,29.01,71.056,32.469,4.834,-0.461,8.000,8.000,27.57,73.545,37.68,4.833,-0.459,8.000,8.000,25.70
00:01.681,46.427,10.071,4.719,-0.517,8.000,8.000,25.51,54.016,13.998,5.032,-0.480,8.000,8.000,28.29,59.311,17.814,5.015,-0.491,8.000,8.000,29.44,64.116,22.571,5.021,-0.487,8.000,8.000,29.56,68.054,27.619,5.014,-0.492,8.000,8.000,28.85,71.251,33.076,5.003,-0.498,8.000,8.000,27.29,73.66,38.34,4.991,-0.502,8.000,8.000,25.36
00:01.781,47.025,10.425,4.851,-0.572,8.000,8.000,25.71,54.596,14.558,5.099,-0.502,8.000,8.000,28.30,59.784,18.378,5.064,-0.521,8.000,8.000,29.34,64.459,23.191,5.075,-0.515,8.000,8.000,29.38,68.374,28.348,5.063,-0.523,8.000,8.000,28.59,71.407,33.748,5.039,-0.536,8.000,8.000,26.99,73.737,38.992,5.016,-0.545,8.000,8.000,24.98
00:01.881,47.641,10.861,4.851,-0.628,8.000,8.000,25.88,55.202,15.179,5.052,-0.523,8.000,8.000,28.31,60.251,18.985,4.999,-0.552,8.000,8.000,29.28,64.846,23.879,5.016,-0.543,8.000,8.000,29.18,68.686,29.055,4.997,-0.553,8.000,8.000,28.30,71.605,34.442,4.960,-0.573,8.000,8.000,26.63,73.815,39.635,4.926,-0.588,8.000,8.000,24.57
