,ID 2065,ID 2065,ID 2065,ID 2065,ID 2065,ID 2065,ID 2065,ID 1517,ID 1517,ID 1517,ID 1517,ID 1517,ID 1517,ID 1517,ID 1774,ID 1774,ID 1774,ID 1774,ID 1774,ID 1774,ID 1774,ID 2033,ID 2033,ID 2033,ID 2033,ID 2033,ID 2033,ID 2033,ID 1592,ID 1592,ID 1592,ID 1592,ID 1592,ID 1592,ID 1592,ID 1728,ID 1728,ID 1728,ID 1728,ID 1728,ID 1728,ID 1728,ID 1971,ID 1971,ID 1971,ID 1971,ID 1971,ID 1971,ID 1971
,LEDECKA,LEDECKA,LEDECKA,LEDECKA,LEDECKA,LEDECKA,LEDECKA,COUCKUYT,COUCKUYT,COUCKUYT,COUCKUYT,COUCKUYT,COUCKUYT,COUCKUYT,GNAFAKI,GNAFAKI,GNAFAKI,GNAFAKI,GNAFAKI,GNAFAKI,GNAFAKI,FAHR,FAHR,FAHR,FAHR,FAHR,FAHR,FAHR,FRA,FRA,FRA,FRA,FRA,FRA,FRA,DEMES,DEMES,DEMES,DEMES,DEMES,DEMES,DEMES,SMOLINSKA,SMOLINSKA,SMOLINSKA,SMOLINSKA,SMOLINSKA,SMOLINSKA,SMOLINSKA
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:01.089,47.734,2.761,5.147,0.580,3.936,7.926,.00,48.546,1.627,4.793,-0.032,3.936,6.794,33.12,73.745,10.594,5.316,0.673,3.936,7.926,44.61,46.998,0.914,4.793,-0.033,3.936,6.793,32.59,46.617,0.446,4.793,-0.033,3.936,6.793,32.66,51.939,4.453,4.730,-0.064,4.948,6.794,33.50,49.942,1.178,4.729,-0.064,3.936,6.793,34.43
00:01.089,47.734,2.761,5.214,0.593,3.936,7.926,.00,48.546,1.627,4.800,-0.059,3.936,6.794,33.12,73.745,10.594,5.543,0.764,3.936,7.926,44.61,46.998,0.914,4.799,-0.060,3.936,6.793,32.59,46.617,0.446,4.799,-0.060,3.936,6.793,32.66,51.939,4.453,4.741,-0.089,4.948,6.794,33.50,49.942,1.178,4.741,-0.089,3.936,6.793,34.43
00:01.189,47.933,3.2,5.273,0.604,3.936,10.144,31.80,48.527,1.635,4.806,-0.083,3.936,7.365,33.18,73.724,10.595,5.739,0.843,3.936,15.509,44.65,47.121,0.877,4.805,-0.083,3.936,7.365,32.59,46.697,0.623,4.805,-0.083,3.936,7.365,32.65,52.172,4.61,4.751,-0.110,4.948,7.365,33.58,50.126,1.325,4.750,-0.111,3.936,7.365,34.48
00:01.289,48.068,3.569,5.679,0.654,3.936,10.428,31.63,48.539,1.667,5.131,-0.110,3.936,7.936,33.16,73.715,10.59,6.305,0.974,15.509,15.509,44.64,47.266,0.872,5.131,-0.111,3.936,7.936,32.70,46.75,0.733,5.131,-0.111,3.936,7.936,32.58,52.203,4.349,5.077,-0.138,4.948,7.936,33.63,50.29,1.439,5.076,-0.139,3.936,7.937,34.51
00:01.389,48.154,3.787,5.850,0.641,3.936,10.602,31.47,48.555,1.656,5.242,-0.172,3.936,8.000,33.14,73.755,10.558,6.605,1.000,15.509,15.509,44.64,47.38,0.875,5.242,-0.172,3.936,8.000,32.81,46.755,0.773,5.242,-0.172,3.936,8.000,32.54,52.176,4.187,5.188,-0.199,4.948,8.000,33.84,50.434,1.53,5.187,-0.200,3.936,8.000,34.54
00:01.489,47.983,3.689,5.888,0.628,5.044,10.687,31.37,48.544,1.724,5.220,-0.233,8.000,8.000,33.16,73.796,10.517,6.763,1.027,15.509,15.509,44.69,47.47,0.843,5.219,-0.234,8.000,8.000,32.88,46.709,0.797,5.219,-0.234,8.000,8.000,32.51,52.282,4.311,5.166,-0.260,8.000,8.000,33.93,50.502,1.568,5.165,-0.261,8.000,8.000,34.58
00:01.589,48.128,3.351,5.811,0.615,10.687,10.687,31.32,48.534,1.694,5.083,-0.294,8.000,8.000,33.11,73.798,10.487,6.807,1.054,15.509,15.509,44.75,47.584,0.853,5.083,-0.295,8.000,8.000,32.97,46.679,0.847,5.083,-0.295,8.000,8.000,32.46,52.193,3.749,5.029,-0.322,8.000,8.000,33.92,50.49,1.478,5.028,-0.323,8.000,8.000,34.60
00:01.689,47.66,2.437,5.735,0.602,10.687,10.687,31.66,48.529,1.703,4.947,-0.356,8.000,8.000,33.12,73.802,10.461,6.850,1.080,15.509,15.509,44.77,47.659,0.851,4.946,-0.357,8.000,8.000,33.04,46.622,0.874,4.946,-0.357,8.000,8.000,32.41,52.237,3.434,4.893,-0.383,8.000,8.000,34.26,50.421,1.369,4.892,-0.384,8.000,8.000,34.66
00:01.789,47.57,2.361,5.658,0.589,10.687,10.687,31.98,48.523,1.671,4.810,-0.417,8.000,8.000,33.11,73.798,10.428,6.894,1.107,15.509,15.509,44.79,47.779,0.886,4.809,-0.418,8.000,8.000,33.10,46.621,0.922,4.809,-0.418,8.000,8.000,32.35,52.214,3.096,4.756,-0.444,8.000,8.000,34.51,50.223,1.024,4.755,-0.446,8.000,8.000,34.69
00:01.889,47.403,2.135,5.544,0.500,10.687,10.687,31.97,48.503,1.737,4.673,-0.479,8.000,8.000,33.13,73.807,10.396,6.900,1.058,15.509,15.509,44.81,47.821,0.939,4.612,-0.494,8.000,8.000,33.16,46.608,0.926,4.612,-0.494,8.000,8.000,32.31,52.201,2.929,4.558,-0.521,8.000,8.000,34.73,50.256,0.988,4.557,-0.522,8.000,8.000,34.79
