,ID 978,ID 978,ID 978,ID 978,ID 978,ID 978,ID 978,ID 858,ID 858,ID 858,ID 858,ID 858,ID 858,ID 858,ID 998,ID 998,ID 998,ID 998,ID 998,ID 998,ID 998,ID 684,ID 684,ID 684,ID 684,ID 684,ID 684,ID 684
,DESTER,DESTER,DESTER,DESTER,DESTER,DESTER,DESTER,EITEL,EITEL,EITEL,EITEL,EITEL,EITEL,EITEL,NAIDON,NAIDON,NAIDON,NAIDON,NAIDON,NAIDON,NAIDON,STRASKY,STRASKY,STRASKY,STRASKY,STRASKY,STRASKY,STRASKY
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:01.370,42.394,78.73,3.283,-0.256,2.113,8.000,25.54,42.45,78.76,3.283,-0.256,2.113,8.000,25.54,43.108,79.699,3.283,-0.256,2.113,8.000,25.86,42.991,79.625,3.476,-0.272,2.113,8.000,25.83
00:01.370,42.394,78.73,3.283,-0.288,2.113,8.000,25.54,42.45,78.76,3.283,-0.288,2.113,8.000,25.54,43.108,79.699,3.283,-0.288,2.113,8.000,25.86,42.991,79.625,3.468,-0.303,2.113,8.000,25.83
00:01.470,42.219,78.847,3.414,-0.330,8.000,8.000,25.69,42.271,78.829,3.414,-0.330,8.000,8.000,25.68,43.067,79.674,3.414,-0.330,8.000,8.000,25.87,42.943,79.679,3.599,-0.345,8.000,8.000,25.90
00:01.570,42.007,78.928,3.545,-0.372,8.000,8.000,25.90,42.014,78.887,3.513,-0.377,8.000,8.000,25.85,42.958,79.74,3.513,-0.378,8.000,8.000,25.89,42.852,79.762,3.697,-0.393,8.000,8.000,25.98
00:01.670,41.784,79.044,3.644,-0.419,8.000,8.000,26.11,41.758,78.974,3.611,-0.425,8.000,8.000,26.07,42.852,79.775,3.611,-0.425,8.000,8.000,26.01,42.742,79.855,3.796,-0.441,8.000,8.000,26.10
00:01.770,41.554,79.157,3.742,-0.467,8.000,8.000,26.35,41.511,79.069,3.709,-0.473,8.000,8.000,26.32,42.654,79.866,3.709,-0.473,8.000,8.000,26.11,42.561,79.912,3.894,-0.488,8.000,8.000,26.24
00:01.870,41.27,79.307,3.840,-0.515,8.000,8.000,26.59,41.279,79.161,3.808,-0.521,8.000,8.000,26.56,42.476,79.996,3.808,-0.521,8.000,8.000,26.31,42.425,80.009,3.993,-0.536,8.000,8.000,26.41
00:01.970,40.982,79.443,3.939,-0.563,8.000,8.000,26.90,41.036,79.265,3.906,-0.569,8.000,8.000,26.79,42.308,80.152,3.906,-0.569,8.000,8.000,26.53,42.239,80.152,4.091,-0.584,8.000,8.000,26.58
00:02.070,40.692,79.624,4.013,-0.611,8.000,8.000,27.20,40.778,79.438,3.980,-0.617,8.000,8.000,27.03,42.118,80.299,3.980,-0.617,8.000,8.000,26.76,42.108,80.275,4.085,-0.632,8.000,8.000,26.81
00:02.170,40.399,79.797,4.006,-0.659,8.000,8.000,27.53,40.476,79.6,3.974,-0.665,8.000,8.000,27.34,41.867,80.399,3.974,-0.665,8.000,8.000,27.00,41.902,80.367,3.998,-0.681,8.000,8.000,26.99
00:02.270,40.066,79.936,3.920,-0.708,8.000,8.000,27.86,40.177,79.749,3.887,-0.713,8.000,8.000,27.66,41.639,80.486,3.887,-0.714,8.000,8.000,27.25,41.62,80.5,3.844,-0.729,8.000,8.000,27.20
00:02.370,39.759,80.025,3.765,-0.756,8.000,8.000,28.19,39.809,79.927,3.732,-0.762,8.000,8.000,27.98,41.35,80.585,3.732,-0.762,8.000,8.000,27.47,41.362,80.644,3.689,-0.777,8.000,8.000,27.49
00:02.470,39.415,80.072,3.610,-0.804,8.000,8.000,28.47,39.464,80.056,3.578,-0.810,8.000,8.000,28.37,41.024,80.71,3.578,-0.810,8.000,8.000,27.74,41.091,80.776,3.534,-0.825,8.000,8.000,27.78
00:02.570,39.076,80.162,3.440,-0.848,8.000,8.000,28.75,39.212,80.18,3.405,-0.855,8.000,8.000,28.70,40.716,80.856,3.404,-0.855,8.000,8.000,28.06,40.784,80.893,3.361,-0.870,8.000,8.000,28.06
